machine	bbchallenge_id	formula_tape	num_steps_until_formula_tape	num_macro_steps_until_special_case
1RB---_0RC---_0RD0LD_1LE0RE_0LA1LC	1355	.<A010110(0110).	109	42
1RB---_0RC---_0RD1LD_0LE0LA_1LE1LC	3867	.<A0110110(110).	189	62
1RB---_0RC---_0LD1RD_1LE0RB_1RD0LC	9822	.<C011001(1001).	104	35
1RB---_0RC---_1RD0LA_0LE0RE_1LB1LD	13145	.<B101010(1010).	79	29
1RB---_0RC---_1RD0LD_0LE1RB_1LC1RE	13513	.11011011011011(011011)B>.	301	85
1RB---_0RC---_1RD0LE_1LE1RB_1LC1LB	14150	.<B1010010010(010010)1.	239	84
1RB---_0RC---_1LD0RD_0LE0LB_1RB1LC	21993	.<B01101011101(011101011101).	867	296
1RB---_0RC0RA_0LD0RD_1LE0LE_0LA0LB	29720	.<A01010(1010).	105	37
1RB---_0RC0RA_0LD1RB_1LE0LB_1RD1LC	30083	.010101(0101)B>.	73	26
1RB---_0RC0RA_0LD1LE_1LE0LB_1RD1LC	30498	.010101(0101)B>.	97	34
1RB---_0RC0RA_1RD0LD_0LE0LB_1LC1RE	30567	.<C10010(010010)1.	149	56
1RB---_0RC0RA_1RD0LE_1LC0LB_0LD---	30627	.<C10010(010010)1.	153	58
1RB---_0RC0RA_1RD1RC_1LE0LB_0LB0LD	30657	.<B010101(0101).	65	25
1RB---_0RC0RA_1LC1RD_1LE0LD_1RB1RE	30863	.1110111(0111011101110111011101110111011101110111)1010A>.	4569	1366
1RB---_0RC0RA_1LD0RB_0LE0LA_1RC0LB	30908	.1(1)00010(10)A>.	69	25
1RB---_0RC0RA_1LD0RC_0LE0LD_0RA0LC	30918	.0101010(1010)A>.	92	33
1RB---_0RC0RA_1LD0RC_0LE1RC_1RA0LC	30919	.11010101010(1010)A>.	175	55
1RB---_0RC0RA_1LD1RC_1RC0LE_1LA0LD	31123	.<A10(1010)001.	64	23
1RB---_0RC0RA_1LD1RD_0LE0LB_0RB1LC	31131	.0000010(010)10A>.	110	29
1RB---_0RC0RA_1LD1RD_1RC0LE_1LA0LD	31137	.<A1010(10101010)001.	191	68
1RB---_0RC0RB_0LD0RA_0LE1LE_1RC1LC	32947	.1011010010(010)C>.	156	48
1RB---_0RC0RB_0LD0RE_1LC0RD_1LA1LE	33357	.<A110(10110).	99	36
1RB---_0RC0RB_0LD0RE_1LC0LB_1LA1LE	33363	.<A11010(010).	70	23
1RB---_0RC0RB_0LD0RE_1LC0LD_1LA1LE	33364	.<A11010(010).	64	21
1RB---_0RC0RB_0LD1RA_1LD0LE_1RE0LB	33979	.10011(011)B>.	69	22
1RB---_0RC0RB_0LD1LA_0LE1LD_0RA1LC	35178	.011010(10101010)C>.	339	120
1RB---_0RC0RB_0LD1LA_1LE1RB_0RD1LC	35393	.(1)01100(100)0C>.	127	52
1RB---_0RC0RB_0LD1LA_1LE1LD_1LC0RC	35432	.<A111(1011)0.	133	51
1RB---_0RC0RB_0LD1LA_1LE1LD_1LC1RB	35433	.<A111(1011)0.	123	47
1RB---_0RC0RB_0LD1LD_0LE1LE_1RA1LC	35975	.110110110110110(110)C>.	211	57
1RB---_0RC0RB_1RD0RB_1LD0LE_0LC1LA	36411	.<A101010101(0101).	127	37
1RB---_0RC0RB_1RD0LD_1LE0RA_0LB0LD	36854	.010101010101010101010(101010)A>.	444	106
1RB---_0RC0RB_1RD0LD_1LE0RA_0LB1LB	36855	.010101010101010101010(101010)A>.	542	130
1RB---_0RC0RB_1RD0LD_1LE0RB_1LA0LC	36861	.1(1)000100(00)B>.	76	27
1RB---_0RC0RB_1RD0LD_1LE1RD_1LA1LC	36903	.<A1101111(11111111).	271	93
1RB---_0RC0RB_1RD0LE_0LC0RA_1LC1RE	36920	.<C10101101(101)00.	118	38
1RB---_0RC0RB_1RD0LE_0LE0RA_1LC1RE	36949	.<C10101101(101101)01.	252	88
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC0LB	36987	.<C10101101(101101)01.	274	96
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RD	36988	.<C10101101(101101)01.	244	86
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RE	36989	.<C10101101(101101)01.	244	86
1RB---_0RC0RB_1RD1LA_0LE0RE_1LD1LC	37483	.10(10)010(0)B>.	70	25
1RB---_0RC0RB_1RD1LE_1LC0RA_0RE0LD	38061	.<C10101101(101101)01.	278	98
1RB---_0RC0RB_1LD0RA_0LE0LC_1RC1LE	40236	.1(00100)B>.	61	22
1RB---_0RC0RB_1LD0LA_1LE---_0LC1LB	41065	.<A0011011(011011).	222	78
1RB---_0RC0RB_1LD0LD_1RE1RA_1LE1LC	41552	.1(1)(000)B>.	65	8
1RB---_0RC0RB_1LD0LE_1LC1LA_1RB1LD	41904	.<A11(11)011.	56	19
1RB---_0RC0RB_1LD0LE_1LC1LE_1RA1LB	41920	.<B101111(11111111).	196	72
1RB---_0RC0RB_1LD1RA_0LE0LA_0RB0LD	42035	.0011001(1001)A>.	115	41
1RB---_0RC0RB_1LD1RB_0LE0LA_0LB1RC	42117	.<A011(011).	57	21
1RB---_0RC0RB_1LD1RC_0LE1LB_1LC1LA	42483	.<A101(101101101101).	293	102
1RB---_0RC0RB_1LD1RD_0LE0RB_0LB1LA	42642	.<A101011(011).	104	35
1RB---_0RC0RB_1LD1RD_0LE1RE_0LB1LA	42651	.<A101011(011).	110	37
1RB---_0RC0RB_1LD1LA_0RE0LE_1LC1RD	43382	.10(10)0100(00)B>.	91	32
1RB---_0RC0RB_1LD1LA_0RE1LE_0LC1RC	43400	.1(1)0100(00)B>.	70	25
1RB---_0RC0RB_1LD1LA_1RD0RE_1LE0LC	43513	.1(1)0100(00)B>.	70	25
1RB---_0RC0RB_1LD1LA_1RE1LE_1LC0LD	43551	.<A1110(111110).	130	48
1RB---_0RC0RB_1LD1LA_1LE0LB_0LC0LA	43699	.1100(0100)B>.	111	42
1RB---_0RC0RB_1LD1LA_1LE0LB_1LC0LA	43701	.<A1111111111(111).	108	27
1RB---_0RC0RB_1LD1LC_1LE0LB_0LA1LA	44397	.<A111(111).	51	19
1RB---_0RC0RC_0RD0LD_1LE0RE_1LA1LC	45841	.<A110110(0110).	109	42
1RB---_0RC0RC_0RD1LD_0LE1LA_1LE1LC	47000	.<A1110110(110).	189	62
1RB---_0RC0RC_1RD0RD_0LE0RE_1LA1LD	52323	.<A101010(1010).	75	27
1RB---_0RC0RC_1RD0LA_0LE0RE_1LA1LD	52595	.<A101010(1010).	69	25
1RB---_0RC0RC_1RD0LE_1RE1RA_1LC0LD	53119	.11101110111011(10111011)A>.	336	107
1RB---_0RC0RC_1RD1RA_1LE0LB_1RC0LD	53314	.1110110110(110)C>.	137	40
1RB---_0RC0RC_1RD1LA_0LE0RE_1LA1LD	53916	.<A101010(1010).	69	25
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LC	64354	.<C101101101101101101(101).	296	67
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LD	64355	.011011001101100110110011(01100110110011)B>.	1177	386
1RB---_0RC0RD_0RD0LE_1LD1RE_1RA0LE	64446	.11011(11011011)0011A>.	364	130
1RB---_0RC0RD_0RD1LA_1LD1RE_1RA0LE	65328	.111(101111011110111)011A>.	667	209
1RB---_0RC0RD_0LD0LE_1LC0RB_1RA0LA	69163	.<A001010(1010).	162	56
1RB---_0RC0RD_0LD1RA_1LE1LD_1RB0LE	69431	.<E0010(0)1(1)0.	72	26
1RB---_0RC0RD_1RD0LA_1LE0RB_0LE0LC	74246	.1010(1)010(00)B>.	71	19
1RB---_0RC0RD_1RD0LE_1RE1RA_1LC0LD	75140	.11101101110111011(10111011)A>.	432	125
1RB---_0RC0RD_1LA1LD_0RE0LE_1LC0RC	84415	.<A1101100110(0110).	219	58
1RB---_0RC0RD_1LA1LD_0LE0RE_1LC0RC	84481	.<A11010(110).	70	26
1RB---_0RC0RD_1LA1LD_1RE0LC_1LC1RD	84548	.<A101010(101010).	200	76
1RB---_0RC0RD_1LA1LE_1RE0RE_0LC0RC	84915	.<A101010(1010).	80	27
1RB---_0RC0RD_1LA1LE_1RE0LB_0LC0RC	84924	.<A101010(1010).	80	27
1RB---_0RC0RD_1LA1LE_1RE1LA_0LC0RC	84940	.<A101010(1010).	74	25
1RB---_0RC0RD_1LC1LD_0RE1LE_0LC1LA	93499	.<A1110110(110).	187	62
1RB---_0RC0RD_1LC1LD_0LE1LA_0RA0LB	93614	.011101(1101)B>.	124	43
1RB---_0RC0RD_1LC1LD_1LA0LE_1RA0LE	93857	.11111(1111)B>.	95	34
1RB---_0RC0RD_1LD0RB_0LE1LA_1RB0LC	94422	.<A11001001(11001001).	324	110
1RB---_0RC0RD_1LD0RB_1RE0LE_0LA1RC	94457	.<A00111(111).	96	34
1RB---_0RC0RD_1LD0RC_0LE---_1RA0LC	94653	.11111111(1111)B>.	121	43
1RB---_0RC0RD_1LD0LA_1LE0RB_0LC1LB	95843	.<A0011011(011011).	222	78
1RB---_0RC0RD_1LD0LE_0LC0LA_1RA1RB	96975	.1(111)B>.	43	12
1RB---_0RC0RD_1LD1RA_0LE0LA_0RB0LD	97584	.0011001(1001)A>.	127	45
1RB---_0RC0RD_1LD1RA_0LE0LD_1RA1LD	97600	.<D0(100100)000010(00)1.	221	82
1RB---_0RC0RD_1LD1RA_0LE0LD_1RB1LD	97601	.10(110110110110110)C>.	424	133
1RB---_0RC0RD_1LD1RB_1LE0RB_1LC0LA	97974	.<A011(111111).	99	35
1RB---_0RC0RD_1LD1RE_0LE---_1RB0LB	99147	.<B001(011101011101).	537	170
1RB---_0RC0RE_0LD0RB_1LE0RB_1LC1LA	108401	.<A110(110).	51	19
1RB---_0RC0RE_0LD1RA_1LD0LE_1LB1RC	110704	.<B10010010(010).	185	61
1RB---_0RC0RE_0LD1LC_1LE0RA_0LA1RC	115220	.<A010110(110110).	174	66
1RB---_0RC0RE_1RD1LE_1LC0RA_0RE0LD	122034	.<C10101101(101101)01.	248	88
1RB---_0RC0RE_1LC0LD_1RA0LD_1RA0LA	125998	.1111111(1111)B>.	142	46
1RB---_0RC0RE_1LC0LD_1RA0LD_1RC1RD	126004	.11(111111)011A>.	118	44
1RB---_0RC0RE_1LC0LD_1LE1RA_1LA0RB	126642	.1110000(00)B>.	72	18
1RB---_0RC0RE_1LC1RD_1RA0LE_1LA0LD	127494	.<A100000(000000)101.	157	52
1RB---_0RC0RE_1LD0RA_0LD1LB_0RB1LA	129384	.00(00)1(1)00B>.	66	23
1RB---_0RC0RE_1LD0RC_0LE0LA_0RA1LC	130031	.<A01101101101(101101).	214	69
1RB---_0RC0RE_1LD0RC_0LE0LD_0RA1LC	130033	.010100100(100100)A>.	213	71
1RB---_0RC0RE_1LD0LA_1LB0LC_1LC1RB	131303	.<B1101(0101)1.	72	25
1RB---_0RC0RE_1LD1RE_1RD1LB_1RA0LC	136178	.011101(101)A>.	113	35
1RB---_0RC0RE_1LD1LA_0LE0RD_1RB0LC	136993	.<A100100111(0011100111).	548	184
1RB---_0RC0RE_1LD1LA_1LB0LC_1RC0RD	137171	.<B11010101(010101).	138	45
1RB---_0RC0RE_1LD1LA_1LE0LD_1RB0LC	137469	.1101010101010101010101010101010101010101010101010101(0101)B>.	1553	226
1RB---_0RC0LA_0RD1RD_1LE0LB_1LD0LA	141659	.<A0111(1111).	119	44
1RB---_0RC0LA_1RD0LD_1LE0RE_1RC1LB	144207	.<B1101(0101).	89	34
1RB---_0RC0LA_1RD1LE_1LE0RB_0LB0LC	145137	.<B01011(011).	70	27
1RB---_0RC0LA_1LD0RB_1LE0LD_1LB1LC	145904	.<B11111(01111111)1.	196	68
1RB---_0RC0LA_1LD0RD_1LE1LB_0RB0LC	146150	.<B11011011(011011).	262	94
1RB---_0RC0LA_1LD1RC_0LE0RB_1LB0RC	146797	.(1)01011(1)C>.	73	28
1RB---_0RC0LA_1LD1RC_0LE1RE_1LB0RC	146801	.(1)01011(1)C>.	63	24
1RB---_0RC0LB_0LD1RE_1LE0RA_0RD1LA	151563	.0010100(10100)A>.	138	48
1RB---_0RC0LB_1RD0RD_1LE1RA_1RE0LD	152876	.<B00001001001(001001).	309	94
1RB---_0RC0LB_1RD1LD_1RE1LA_0LC1RA	157609	.<B001000010(00010).	174	47
1RB---_0RC0LB_1LB1RD_0LE1RE_1RA1LC	159410	.(01111)A>.	52	20
1RB---_0RC0LB_1LD0RA_0LD1LE_0LA1LA	160716	.<A0101(010010).	120	46
1RB---_0RC0LB_1LD0RA_0LE0LC_1RB1RC	160719	.1(11001)B>.	97	32
1RB---_0RC0LB_1LD0RA_1LE0RC_1RD0LC	160729	.1(11001)B>.	89	30
1RB---_0RC0LB_1LD0RA_1LE0LA_0RD0LC	160730	.1(11001)B>.	105	36
1RB---_0RC0LB_1LD1RC_0LE0RD_1RB1LA	162425	.<A101(001001).	111	41
1RB---_0RC0LB_1LD1RC_1LB1RE_1RA1RE	162647	.011111(011111)1A>.	149	54
1RB---_0RC0LB_1LD1RC_1LB1LE_1RA1RE	162670	.011111(011111)1A>.	167	60
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA0RD	163425	.010111(10101111010111)A>.	462	160
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA1RC	163426	.011111(011111)1A>.	149	54
1RB---_0RC0LB_1LD1RE_1LB1LC_1RA1RC	163483	.011111(011111)1A>.	167	60
1RB---_0RC0LC_0RD0LA_0LE0RC_1LE1LB	164857	.<A001110(1110).	156	56
1RB---_0RC0LC_0RD0LA_0LE0RE_1LE1LB	164860	.<A001110(1110).	168	60
1RB---_0RC0LC_0RD1RA_0LD1LE_0LA1LD	165412	.<A01011(11)000.	74	24
1RB---_0RC0LC_0RD1RA_0LD1LE_1LA0LD	165423	.<A110100(100)0.	74	24
1RB---_0RC0LC_0LD0RA_1LE1LC_1RC0LE	168313	.<C1010101010(1010).	128	43
1RB---_0RC0LC_0LD1RE_1LB0RE_1LC0RA	171303	.<B10010(1010).	73	26
1RB---_0RC0LC_1RD0LA_1LE0RB_1LC0LD	174171	.<C110101(0101).	75	30
1RB---_0RC0LC_1RD0LD_1RE0LB_1LB1RA	174469	.<C010000100001000010(00010)1.	346	108
1RB---_0RC0LC_1RD0LD_1RE0LD_1LB1RA	174476	.<C010000100001000010(00010)1.	346	108
1RB---_0RC0LC_1RD0LE_1RE1RA_1LC0LD	174687	.11011101110111011(10111011)A>.	454	129
1RB---_0RC0LC_1RD0LE_1LB0RE_1RA1LB	174714	.11110111(0111)B>.	143	41
1RB---_0RC0LC_1RD0LE_1LC0RA_1RA1LB	174775	.<B10010010000(10010000).	1232	455
1RB---_0RC0LC_1RD1RA_0LE0RE_1LA1LD	174934	.<A101010(1010).	73	28
1RB---_0RC0LC_1RD1RA_0LE0LE_1LA1LD	174942	.<A101010(1010).	63	24
1RB---_0RC0LC_1RD1LC_1LE1RE_1RA0LE	177764	.<C1111(11)0011110.	122	30
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0RC	185646	.1011001(1001)A>.	135	43
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LB	185648	.1011001(1001)A>.	123	39
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LC	185649	.1011001(1001)A>.	99	31
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LD	185650	.1011001(1001)A>.	147	47
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA1LD	185651	.1011001(1001)A>.	111	35
1RB---_0RC0LC_1LD0RE_0RE0LE_1RA0LC	185770	.1011001(1001)A>.	99	31
1RB---_0RC0LC_1LD0RE_0LE0RC_1RA0LB	185906	.(1001100110011001)A>.	420	110
1RB---_0RC0LC_1LD0RE_1RD0LE_1RA1LD	186048	.1011001(1001)A>.	111	35
1RB---_0RC0LC_1LD0RE_1LB0LD_0LA1RA	186260	.<B11011(1011).	87	32
1RB---_0RC0LC_1LD0RE_1LB0LE_0LA0RA	186277	.<B11011(1011).	75	28
1RB---_0RC0LC_1LD0LA_1LE1RE_1LB0RD	186658	.<A00111111(111111).	282	98
1RB---_0RC0LC_1LD1RA_0LE0RB_0RB1LB	187869	.00111011101(1101)A>.	248	77
1RB---_0RC0LC_1LD1RA_0LE0RB_0RE1LB	187872	.00111011101(1101)A>.	260	81
1RB---_0RC0LC_1LD1RA_0LE0RB_1RA1LB	187873	.111011011101(1011101)A>.	278	87
1RB---_0RC0LC_1LD1RA_0LE0RB_1RB1LB	187874	.10110111011(0111011)101A>.	308	99
1RB---_0RC0LC_1LD1RA_0LE0RB_1RD1LB	187875	.011101(1011101)A>.	169	59
1RB---_0RC0LC_1LD1RA_0LE0RB_1RE1LB	187876	.111011011101(1011101)A>.	290	91
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB0RD	187877	.011101(1011101)A>.	185	63
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB1LB	187878	.011101(1011101)A>.	165	57
1RB---_0RC0LC_1LD1RA_0LE0RE_1LA1LD	187881	.<A10101(0101).	67	26
1RB---_0RC0LC_1LD1RA_0LE0LD_0RA1LB	187885	.011101(1011101)A>.	215	74
1RB---_0RC0LC_1LD1RA_0LE0LD_0RB1LB	187886	.0011011101(1011101)A>.	294	100
1RB---_0RC0LC_1LD1RA_0LE0LD_1RA1LB	187888	.1110111011101(10111011011101)A>.	608	201
1RB---_0RC0LC_1LD1RA_0LE0LD_1RD1LB	187890	.011101(10111011011101)A>.	481	157
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB0RD	187891	.011101(10111011011101)A>.	541	173
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB1LB	187892	.011101(10111011011101)A>.	473	153
1RB---_0RC0LC_1LD1RA_0LE0LE_1LA1LD	187902	.<A10101(0101).	57	22
1RB---_0RC0LC_1LD1RA_1RE0LD_0RB1LD	187944	.1(11)001(101)A>.	161	61
1RB---_0RC0LC_1LD1RA_1RE0LE_1LA1LD	187948	.<A10101(0101).	71	26
1RB---_0RC0LC_1LD1RC_1RE1LE_0LA1LB	189267	.<A0110111(111).	82	28
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD0RA	190959	.01010101010(1010)A>.	122	39
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD1RA	190960	.01110011(10011)A>.	175	65
1RB---_0RC0LD_0RD0RA_0LE1RD_1LA1LB	193835	.<A100100(0100).	101	38
1RB---_0RC0LD_0RD0RA_1LE1LB_1LA---	193857	.<B1010101(0101).	98	37
1RB---_0RC0LD_0RD0LA_1LE1RD_1LA1LB	194510	.<A110111(111111111111).	587	187
1RB---_0RC0LD_0RD1RB_0RE0LA_1LE1LB	194950	.<B11111(111).	77	29
1RB---_0RC0LD_0RD1RB_1RE0LE_1LB---	195014	.<B10011(0011)1.	138	52
1RB---_0RC0LD_0RD1RB_1LD1RE_1RA0LE	195069	.11011(011011)A>.	168	58
1RB---_0RC0LD_0RD1RC_0RE0LA_1LE0LB	195205	.011000101(011)C>.	72	15
1RB---_0RC0LD_0RD1RC_0LE1RA_1LB1LE	195214	.<B11(11)0010.	64	25
1RB---_0RC0LD_0RD1RD_0LE1LB_1LA0RA	195367	.<A100100(0100).	89	34
1RB---_0RC0LD_0LD0RE_0LE1LC_0RA1LD	199539	.0100010(0010)C>.	89	31
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LB	204342	.<B1010101(0101).	116	43
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LD	204343	.<B1010101(0101).	92	35
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1RD	204344	.<B1010101(0101).	104	39
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1LA	204345	.<B1010101(0101).	98	37
1RB---_0RC0LD_1RD0RE_1LE0RA_0LB0LD	205565	.<B0100101010(0100101010)100101(11)0101.	831	300
1RB---_0RC0LD_1RD0LA_1LE0RB_0LC0RB	205730	.<A0010(010).	63	23
1RB---_0RC0LD_1RD0LA_1LE0RB_1LA0LD	205731	.<A110101(0101).	67	26
1RB---_0RC0LD_1RD0LB_1RE0LE_1LC1RA	205881	.<B01010001000101(01000101).	351	121
1RB---_0RC0LD_1RD0LE_1LB1RA_1LC1RE	206381	.<C101111111111111111111111(1111)0.	871	162
1RB---_0RC0LD_1RD1RA_0LE0RA_1RB1LD	206571	.10(1010)C>.	40	16
1RB---_0RC0LD_1RD1RA_0LE0RA_1LA1LD	206572	.<A101010(1010).	63	24
1RB---_0RC0LD_1RD1RA_0LE0RD_1LB1RE	206579	.01101101101101(101101)A>.	361	106
1RB---_0RC0LD_1RD1RA_1LE0RA_1LA0LD	206681	.<A110101(0101).	69	27
1RB---_0RC0LD_1RD1RB_1LE1LB_1RC1LA	207070	.<B101010101(01010101).	215	76
1RB---_0RC0LD_1RD1RE_0LE0RA_1RB1LD	207745	.10(1010)C>.	40	16
1RB---_0RC0LD_1RD1RE_1LC1RA_0RB1LE	208128	.1111(111111111111111111)010B>.	1257	412
1RB---_0RC0LD_1RD1LE_1LE1RA_1RD0LC	210200	.1(1111)B>.	47	19
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LA	210864	.<A110(1010).	77	29
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LD	210865	.1(1001)0C>.	60	23
1RB---_0RC0LD_1LA0RB_1LC0LE_1RA1LB	211347	.<A110100(10100).	107	34
1RB---_0RC0LD_1LA0RD_0RB1LE_1LC0LA	212031	.<A010(110).	47	17
1RB---_0RC0LD_1LA0RD_1RB1LE_0LD1LA	212381	.<A110(1010).	77	29
1RB---_0RC0LD_1LA0LB_1RE1RD_1LC0RA	213757	.(110110)A>.	88	31
1RB---_0RC0LD_1LB1RD_1RE0LB_1RC0RA	223185	.0110110110110(110110110110)A>.	1473	497
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LA	229218	.<A110(1010).	77	29
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LD	229219	.1(1001)0C>.	60	23
1RB---_0RC0LD_1LD0RC_0LE1RE_1RA0LC	229828	.1111111(1111)A>.	120	43
1RB---_0RC0LD_1LD0RD_1RB1LE_0LD1LA	230255	.<A110(1010).	77	29
1RB---_0RC0LD_1LD0RE_0LE0LC_1RA0RA	230702	.0110011(0011)B>.	119	36
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB0LB	233562	.<B001(0101).	63	24
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB1LD	233563	.1(0101)B>.	35	14
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA0LB	233564	.<A10101(0101).	75	28
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA1LD	233565	.<A10101(0101).	57	22
1RB---_0RC0LD_1LD1RA_0LE0RB_1RB1LD	233569	.(101101)A>.	62	20
1RB---_0RC0LD_1LD1RA_0LE0RE_1RB0LB	233596	.<B001(0101).	63	24
1RB---_0RC0LD_1LD1RE_0LE0RA_1RB1LD	236014	.1(0101)B>.	35	14
1RB---_0RC0LE_0RD0RA_1RE0LC_1LB1RC	241574	.1001011(011)C>.	105	33
1RB---_0RC0LE_0RD0RA_1RE1RE_1LB1RC	241580	.1001011(011)C>.	93	29
1RB---_0RC0LE_0RD0RA_1LC1RE_1LB1RC	241597	.1001011(011)C>.	107	33
1RB---_0RC0LE_0RD0LA_1LD1LB_---0RD	242565	.<B1111(111).	67	25
1RB---_0RC0LE_0RD0LD_0LE0RA_1LA1LC	242941	.<A100100(0100).	73	28
1RB---_0RC0LE_0RD0LE_1RE1RA_1LC0LC	243161	.<C10110001000(1000).	244	68
1RB---_0RC0LE_0RD1RA_1RE---_1LB0LE	243377	.<B100100100(100)0.	135	33
1RB---_0RC0LE_0RD1RC_1LD1LB_0LA1LD	244170	.<A001110111(01110111).	294	104
1RB---_0RC0LE_0RD1LD_1LE0LB_0LA1LB	246866	.<A00111(111).	90	32
1RB---_0RC0LE_0LD0RA_1LB1LC_1RC1LE	249082	.<B101010(1010).	70	26
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RA	249087	.<B101(0101)101010.	147	57
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RC	249088	.<B101(0101)101010.	195	77
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC1LB	249089	.<B101(0101)101010.	171	67
1RB---_0RC0LE_0LD0RE_1RC1LB_1RA0LC	250283	.0011001(1001)A>.	100	31
1RB---_0RC0LE_0LD0RE_1LB0LC_1RA1RC	250380	.0011001(1001)A>.	94	29
1RB---_0RC0LE_0LD1RC_1LB0RE_1RA0LC	252712	.0011001(1001)A>.	100	31
1RB---_0RC0LE_1RD0RA_0LB1RB_1LE1LD	256738	.<B0100(100)00.	105	42
1RB---_0RC0LE_1RD0RA_1LB1RD_1RE0LD	256829	.<B10010(010)1.	121	45
1RB---_0RC0LE_1RD0RA_1LD1LA_0LC1LB	256872	.<B1010101(0101).	110	41
1RB---_0RC0LE_1RD0LA_1RE1RA_1LB0LE	259315	.<B10100010001000(10001000)001001.	574	200
1RB---_0RC0LE_1RD0LA_1LB0RB_1LB---	259339	.<B10101(0101).	58	22
1RB---_0RC0LE_1RD0LB_1RE0RE_1LC1RA	259756	.111011011101(1011101)A>.	262	83
1RB---_0RC0LE_1RD0LC_1LB1RA_1LC0RB	260464	.(1100110011)A>.	156	45
1RB---_0RC0LE_1RD0LD_1LC1LB_1RA0RE	260741	.<C10101010(10)010(0)1.	121	39
1RB---_0RC0LE_1RD0LE_1RE1RA_1LC0LD	260923	.11101110111011(10111011)A>.	356	111
1RB---_0RC0LE_1RD0LE_1LB1RA_1LC0LD	260966	.<B1001000100(01000100)1.	320	114
1RB---_0RC0LE_1RD1RA_1LB0RB_1LB0LE	261236	.<B10010010010010010(010)1.	398	82
1RB---_0RC0LE_1RD1RA_1LB0LD_1LD0RA	261253	.<B1010100101(0101).	101	33
1RB---_0RC0LE_1RD1RA_1LB0LD_1LD0LD	261254	.<B10010010010(010)1.	199	58
1RB---_0RC0LE_1RD1RA_1LB0LD_1LE0LD	261255	.<B10010010010(010)1.	199	58
1RB---_0RC0LE_1RD1RA_1LB1RB_0LE0LD	261259	.<B100(100100)01.	128	52
1RB---_0RC0LE_1RD1RA_1LB1RB_1LD0LD	261261	.<B100(100100)01.	142	58
1RB---_0RC0LE_1RD1RA_1LB1RD_0LD0RE	261265	.01101101101101(101101)A>.	353	104
1RB---_0RC0LE_1RD1RA_1LE0RB_1LB0LE	261303	.<B10010010010010010(010)1.	398	82
1RB---_0RC0LE_1RD1RA_1LE0LD_1LB0LE	261314	.<B10010010010(010)1.	199	58
1RB---_0RC0LE_1RD1RA_1LE1RB_0RB0LD	261317	.001101(01101)A>.	158	59
1RB---_0RC0LE_1RD1RB_1RE1RA_1LB0LE	261504	.010101(0101010101)1A>.	387	145
1RB---_0RC0LE_1RD1RB_1LB0RC_0LD---	261554	.<B10011(0011).	74	27
1RB---_0RC0LE_1RD1RC_1LB1LE_0RA1LD	262903	.<B111111(1111)01.	136	44
1RB---_0RC0LE_1RD1RE_1LB0RB_1LD0RA	263885	.<B110110011001100110011001(100110011001100110011001).	2387	756
1RB---_0RC0LE_1RD1LA_1LB0RB_0LD0LA	264611	.<A00001001(001001).	180	62
1RB---_0RC0LE_1RD1LA_1LC0RE_0LA1LB	264778	.<A0010(010010)1.	166	58
1RB---_0RC0LE_1RD1LA_1LE0RE_0LA1LB	264926	.<A0010(010010)1.	172	60
1RB---_0RC0LE_1RD1LC_1RE1RA_1LB0LE	266783	.<B100010001000(1000100010001000)0001001.	1190	420
1RB---_0RC0LE_1LB1RD_1RE0RA_0LB1RC	270543	.0111101011110(1011110)A>.	440	127
1RB---_0RC0LE_1LC1RD_1RA1LE_0RC0LD	274459	.01110111(0111)B>.	227	70
