machine	bbchallenge_id	formula_tape	num_steps_until_formula_tape	num_macro_steps_until_special_case
1RB1LB_1RC0RA_1RD1LD_0LE0LC_---1LA	11573678	.<A10101101(01101)10.	206	66
1RB1LB_1RC0RA_1LA1LD_0LE0LC_---0RB	11574364	.<A10101101(01101)1.	220	72
1RB1LB_1RC0RA_1LA1LD_0LE0LC_---1RA	11574365	.<A1011(0101101101011011).	632	191
1RB1LB_1RC0RA_1LA1LD_0LE0LC_---1LA	11574367	.<A10101101(01101)1.	184	60
1RB1LB_1RC0RA_1LA1LD_1LE0LC_---0RB	11574399	.<A10101101(01101)1.	238	78
1RB1LB_1RC0RA_1LA1LD_1LE0LC_---0RD	11574400	.<A10101101(01101)1.	202	66
1RB1LB_1RC0RA_1LB0LD_1LA1LE_---0LD	11574615	.<A1010(1010).	60	22
1RB1LB_1RC0RA_1LD0LE_---0RA_1LA1LC	11575389	.<A1010(1010).	60	22
1RB1LB_1RC0RA_1LD0LE_---1RA_1LA1LC	11575418	.<A1010(1010).	66	24
1RB1LB_1RC0RA_1LD0LE_---1RC_1LA1LC	11575423	.<A1010(1010).	54	20
1RB1LB_1RC0RA_1LD1LE_---1LC_1RB0LC	11576607	.(11010)A>.	74	26
1RB1LB_1RC0RB_1LC0LD_1LA1LE_1LA---	11578093	.<A110110110(110).	457	173
1RB1LB_1RC0RB_1LD0RA_1LE0LC_1LA---	11578128	.<A1110101(010101010101).	327	116
1RB1LB_1RC0RC_1RD0LE_0LC0RA_---1LA	11580730	.<A1010(1010)0.	66	24
1RB1LB_1RC0RC_1LD0LE_---0LA_1RB1RA	11582489	.<B101(111).	99	35
1RB1LB_1RC0RC_1LD0LE_---0LA_1RB1RE	11582490	.<B101(111).	99	35
1RB1LB_1RC0RD_0LB1RE_1LD0LA_---1RA	11586071	.<A011(111111).	259	86
1RB1LB_1RC0RD_0LD0LD_1RE1LA_---0RA	11586550	.<A1010(1010).	60	22
1RB1LB_1RC0RD_0LD0LE_0RA1LD_---1LC	11586557	.01001001(001001)B>.	223	78
1RB1LB_1RC0RD_0LD1RE_1LC1LA_---1RB	11586765	.<B11011111(11).	293	85
1RB1LB_1RC0RD_1LA0RA_0LB0LE_0LD---	11588094	.(110110)A>.	62	20
1RB1LB_1RC0RD_1LA0RE_1LC1RB_---0LD	11588460	.<A11001(001001).	140	47
1RB1LB_1RC0RD_1LA0LC_0RE1LC_0RA---	11588735	.<A10011111(111111)00111.	416	137
1RB1LB_1RC0RD_1LA0LD_---0RE_1LE1LC	11588778	.<A11111(111).	92	30
1RB1LB_1RC0RD_1LA1RE_0LA0LB_---1RD	11589451	.<B11111(111).	246	88
1RB1LB_1RC0RD_1LA1RE_0LA0LC_1RB---	11589453	.<A101(0101).	63	23
1RB1LB_1RC0RD_1LA1RE_0LE0LC_1RB---	11589517	.<A101(0101).	63	23
1RB1LB_1RC0RD_1LA1RE_1LB0LC_---1RA	11589570	.<A101(0101).	63	23
1RB1LB_1RC0RD_1LA1RE_1LC0LC_---0RA	11589580	.1111(1111)0A>.	117	41
1RB1LB_1RC0RD_1LA1LC_---1RE_1LA0RB	11589720	.<A11111(111).	59	20
1RB1LB_1RC0RD_1LA1LC_1LC0RE_---0RC	11589769	.<A11111(1111).	87	28
1RB1LB_1RC0RD_1LD0RE_---0LA_0LA1RD	11591130	.<B101(111).	101	35
1RB1LB_1RC0RD_1LD0RE_---0LA_0LA1LA	11591132	.<B101(111).	99	35
1RB1LB_1RC0RD_1LD0RE_---0LA_1LC0RD	11591137	.<A0111(111).	84	30
1RB1LB_1RC0RD_1LD0RE_---0LA_1LC1LA	11591141	.<A0111(111).	114	40
1RB1LB_1RC0RD_1LD0LE_---0LA_---1RA	11591262	.<B101(111).	99	35
1RB1LB_1RC0RD_1LD0LE_---0LA_1RB1RE	11591263	.<B101(111).	99	35
1RB1LB_1RC0RD_1LD1RE_---0LA_0RD1RA	11591465	.(111111)A>.	184	39
1RB1LB_1RC0RD_1LD1RE_---0LA_0LE1RB	11591469	.<B101(11111111).	519	161
1RB1LB_1RC0RD_1LD1RE_---0LA_1RA1RB	11591474	.1111111111(11111111)A>.	671	224
1RB1LB_1RC0RD_1LD1RE_---0LA_1RC1RB	11591483	.<B101(11111111).	503	153
1RB1LB_1RC0RD_1LD1RE_---0LA_1LB0RD	11591497	.<B101(111).	105	39
1RB1LB_1RC0RD_1LD1RE_---0LA_1LB1RB	11591500	.<B101(11111111).	535	169
1RB1LB_1RC0RD_1LD1RE_---0LA_1LE0RD	11591509	.<B101(111).	105	39
1RB1LB_1RC0RE_0RD---_1LA0LB_1LD1LE	11591804	.<A111111111(11111111).	389	136
1RB1LB_1RC0RE_0RD---_1LA0LE_1LD0LB	11591809	.<A1101010101(01010101).	466	160
1RB1LB_1RC0RE_0LD1RB_1LE1RD_---0LA	11593236	.<B101(111).	113	39
1RB1LB_1RC0RE_1RD0LD_1LA1RB_---0LD	11594244	.<B1101(0101).	73	27
1RB1LB_1RC0RE_1RD1RC_1LA1RB_---0LD	11594373	.<B1101(0101).	63	23
1RB1LB_1RC0RE_1LC1RD_1LA1LD_---1RB	11594927	.<A1111(1111).	60	22
1RB1LB_1RC0RE_1LD0RA_---0LA_0LE1LC	11595248	.<A0110(110)0.	80	27
1RB1LB_1RC0RE_1LD0RA_---0LA_1LE0LC	11595250	.<A01011(01011).	120	42
1RB1LB_1RC0RE_1LD0RC_0LA0LE_---1LC	11595329	.<A01101(101101101).	291	103
1RB1LB_1RC0RE_1LD0LE_---0RA_1RD1LA	11595749	.<A1010(1010).	72	26
1RB1LB_1RC0RE_1LD1RB_---0LA_---0LA	11595903	.<B101(111).	89	31
1RB1LB_1RC0RE_1LD1RB_---0LA_0RD1LE	11595905	.<B101(111).	109	37
1RB1LB_1RC0RE_1LD1RB_0RD0LA_---1LD	11595945	.<B101(111).	109	37
1RB1LB_1RC0RE_1LD1RB_1RB0LA_---0LD	11595961	.<B101(111).	89	31
1RB1LB_1RC0RE_1LD1RD_1LA1LD_---1RB	11596113	.<A1111(1111).	54	20
1RB1LB_1RC0LA_0RD1RD_1LA0RE_---0RB	11597026	.<A01110(11111110).	234	82
1RB1LB_1RC0LA_0LD0RD_1RA0RE_1LC---	11598384	.<A01010101(010101)1.	277	96
1RB1LB_1RC0LA_0LD0RD_1RE1LC_1RB---	11598386	.<A0100(1010).	80	24
1RB1LB_1RC0LA_1RD0RE_1LA1RB_0LB---	11599218	.<A01010(1010).	114	42
1RB1LB_1RC0LA_1RD1RD_1LA0RE_---0RB	11599722	.<A0111(01111111)1.	216	74
1RB1LB_1RC0LA_1LB0RD_1LC1RE_---0RB	11600852	.<A0111(01111111).	234	80
1RB1LB_1RC0LA_1LB1RD_1LA0RE_---0RB	11601050	.<A0111(01111111).	214	74
1RB1LB_1RC0LA_1LD0RD_1RE1LC_---1RB	11601414	.<A0101(1111).	80	24
1RB1LB_1RC0LB_0RD1RD_1RE---_0LA0RA	11602347	.<B0000(0001001010)10.	387	134
1RB1LB_1RC0LB_1RD---_0LA1RE_1RE0RA	11603076	.<B00000(000000)1010.	189	70
1RB1LB_1RC0LB_1RD---_1RE0RA_0LA0RA	11603110	.<B000(00100010)10.	201	72
1RB1LB_1RC0LB_1RD---_1RE0RA_0LA0RC	11603111	.<B0000000100010(00100010)10.	475	148
