machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_1RC1LD_1LD0RD_0LA0RE_1LB0LE; 0∞<B10101010(10)0∞; 133; 39
1RB---_1RC1LD_1LD0RE_---0LE_1RB0LB; 0∞<B001(00101)0∞; 69; 26
1RB---_1RC1LD_1LD1RA_1RE0LD_0LB0RC; 0∞<D000(0)10001(1)0∞; 89; 30
1RB---_1RC1LE_0RD---_1RE0LB_1LB1LD; 0∞<B011(011)1110∞; 80; 29
1RB---_1RC1LE_0RD0RC_1LA0LA_1LA0LB; 0∞<A11010101(0101010101)0∞; 351; 122
1RB---_1RC1LE_0RD0RC_1LD0LE_0RA1LB; 0∞<B1011(11111)0∞; 101; 41
1RB---_1RC1LE_0RD0RC_1LE0LA_0LB1LD; 0∞<A011011101(11011101)0∞; 210; 74
1RB---_1RC1LE_0RD0RE_1LD0LB_0LA0RD; 0∞<B01111111111(11)0∞; 271; 77
1RB---_1RC1LE_0RD0LB_1LB0RC_1LA0LB; 0∞<A11010(110110)0∞; 292; 93
1RB---_1RC1LE_0RD0LE_1RE1RA_1LC0LE; 0∞<C10001000100010(0010)10∞; 340; 107
1RB---_1RC1LE_0RD1RB_1RE1RA_1LC0LE; 0∞0111011101110111011101110111011101(1101110111011101)A>0∞; 2570; 775
1RB---_1RC1LE_0LD0RC_1RB1LB_1LA0LB; 0∞<A1101(101)01(01)1100∞; 138; 48
1RB---_1RC1LE_1RD0RA_1LB1RE_1RC0LB; 0∞<B01010(1010)0∞; 90; 31
1RB---_1RC1LE_1RD0RB_0LB0RE_1RA0LE; 0∞111(1111)01C>0∞; 102; 38
1RB---_1RC1LE_1RD0RC_0LB1RC_1LA1LD; 0∞111(1)00110(110)01D>0∞; 184; 68
1RB---_1RC1LE_1RD0RC_1LB1LD_1LA0LD; 0∞<B11011(1111)0∞; 84; 32
1RB---_1RC1LE_1RD0RE_1LB1RC_1RA0LE; 0∞11111(11111)B>0∞; 108; 39
1RB---_1RC1LE_1RD1RC_1LB0RC_1LA0LD; 0∞11(0)1011101(101)C>0∞; 118; 42
1RB---_1RC1LE_1RD1LD_0LB0RE_1RA0LE; 0∞11111(1111)C>0∞; 106; 38
1RB---_1RC1LE_1LD0RA_1LA0RB_0LC1RD; 0∞<A110101(0101)0∞; 108; 38
1RB---_1RC1LE_1LD0RB_---0LB_1RC0LC; 0∞1(10110)B>0∞; 73; 26
1RB---_1RC1LE_1LD0RB_0LA0LB_0LC0RC; 0∞<A01010110101101011(01011)0∞; 465; 129
1RB---_1RC1LE_1LD0RB_1RC0LB_0LC0LA; 0∞1010010100101001010010(10010)B>0∞; 469; 86
1RB---_1RC1LE_1LD0RE_0RC0LB_0LA1LD; 0∞00(0)110(0)1111C>0∞; 112; 34
1RB---_1LB0RC_0RB1RD_1LE0RC_0LA0LD; 0∞<A0101(0101)0∞; 78; 31
1RB---_1LB0RC_0RB1LD_0LE0RB_1LA0LC; 0∞<A101(1111)0∞; 74; 16
1RB---_1LB0RC_0RB1LD_0LE0RC_1LA0LD; 0∞<A100011111111(111111111)0∞; 711; 233
1RB---_1LB0RC_0RB1LD_0LE0LA_1RC1LE; 0∞<A0111(1)0111(0111)10∞; 206; 69
1RB---_1LB0RC_0RB1LD_0LE1RC_1LA0LD; 0∞<A101(1111)0∞; 78; 16
1RB---_1LB0RC_0RB1LD_0LE1LE_1LA1LC; 0∞<A10111(0111)110∞; 144; 52
1RB---_1LB0RC_0RD0LD_1LE0RE_1LA1LC; 0∞<A110110(0110)0∞; 126; 42
1RB---_1LB0RC_0RE0LD_1LC1LE_0LA1RA; 0∞<A0101010(1010)0∞; 129; 42
1RB---_1LB0RC_0LA1RD_1LE0RA_0LA0LD; 0∞<A0101(0101)0∞; 60; 22
1RB---_1LB0RC_0LA1RD_1LE1RB_1LC0LD; 0∞<A01101(010101)0∞; 141; 52
1RB---_1LB0RC_0LD1RD_1LE0RA_1LA0LC; 0∞000010010(010)A>0∞; 180; 51
1RB---_1LB0RC_1RA1RD_1LD0LE_0LC0RE; 0∞101(0101)1B>0∞; 121; 42
1RB---_1LB0RC_1RA1RD_1LE0RE_0LC0LE; 0∞<C00100100(100)0101(1)010∞; 267; 88
1RB---_1LB0RC_1RA1RD_1LE1RA_0LC0LE; 0∞<C00100100(100)0101(1)010∞; 237; 78
1RB---_1LB0RC_1RD0RD_0LE0RE_1LA1LD; 0∞<A101010(1010)0∞; 81; 27
1RB---_1LB0RC_1RD0LD_1LE0RA_1RB0LA; 0∞<A0101(0101)0∞; 96; 34
1RB---_1LB0RC_1RD0LD_1LE0RE_1RB0LA; 0∞<A0101(0101)0∞; 96; 34
1RB---_1LB0RC_1RD1LA_0LE0RE_0LA1LD; 0∞<A001010(1010)0∞; 93; 33
1RB---_1LB0RC_1RD1LA_0LE0RE_1LA1LD; 0∞<A101010(1010)0∞; 73; 25
1RB---_1LB0RC_1RD1LD_0LE0RA_1LC0LA; 0∞<A001010(1010)0∞; 123; 43
1RB---_1LB0RC_1LD0RD_1LE0LA_1RB0LC; 0∞<A01011011(011011)0∞; 259; 92
1RB---_1LB0RC_1LE0RD_1RC0LA_1LD0LC; 0∞000010101(0101)C>0∞; 173; 60
1RB---_1LB0RC_1LE1RD_0LE1RA_0RD0LC; 0∞01101(011101)1B>0∞; 190; 66
1RB---_1LB0LC_0RD1LE_1RC1RE_0RB1LA; 0∞01010(1010)B>0∞; 145; 54
1RB---_1LB0LC_0LD---_1RD0RE_1RB0RB; 0∞111(111)01B>0∞; 91; 32
1RB---_1LB0LC_0LD0RD_1LE0RA_1RC0LE; 0∞11100(11100)A>0∞; 114; 40
1RB---_1LB0LC_0LD0LC_0RE1LA_1RD1RA; 0∞(0101)A>0∞; 26; 10
1RB---_1LB0LC_0LD0LD_1RE1LC_1RE0RA; 0∞111(1111)0A>0∞; 60; 22
1RB---_1LB0LC_0LD1RE_1RD0LE_0RA0LC; 0∞111110101010(101010)A>0∞; 304; 94
1RB---_1LB0LC_1RD0LE_0RB0RA_0RE1RD; 0∞111111111(11)0B>0∞; 260; 61
1RB---_1LB0LC_1RD0LE_0RC1RA_0LD1LA; 0∞0101(0101)1A>0∞; 74; 24
1RB---_1LB0LC_1RD1LD_0RE0LA_0RB0LC; 0∞1(011)100B>0∞; 61; 22
1RB---_1LB0LC_1RD1LD_0RE0LA_0RB1LE; 0∞1(011)100B>0∞; 77; 28
1RB---_1LB0LC_1RD1LD_1RE1LE_0RA0RB; 0∞111111(111111)0A>0∞; 204; 70
1RB---_1LB0LC_1RD1LE_0RB0RD_0LA0RD; 0∞001(001)1110B>0∞; 211; 74
1RB---_1LB0LC_1LA0LD_1RD0RE_1LB0RA; 0∞<A101(1011)0∞; 52; 19
1RB---_1LB0LC_1LA1LD_1RD1RE_0RE1RB; 0∞11(11)001B>0∞; 82; 29
1RB---_1LB0LC_1LD0RD_0RE0LA_1RC1LE; 0∞<A01011011011011(011011)0∞; 386; 109
1RB---_1LB0LC_1LD0RD_1RE0LA_0RB0RD; 0∞<A01011011011011(011011)0∞; 298; 85
1RB---_1LB0LC_1LD0RE_1LA0LA_1RC0RD; 0∞<A11011011011(011011)0∞; 300; 108
1RB---_1LB0LC_1LD0RE_1LA0LA_1RC0RE; 0∞<A11011011011(011011)0∞; 224; 80
1RB---_1LB0LC_1LD0LA_0RE1RB_0RB1RD; 0∞(01010101)1B>0∞; 117; 38
1RB---_1LB0LC_1LD0LB_1RE0RC_1RA0RD; 0∞<C01100(1100)0010∞; 153; 58
1RB---_1LB0LC_1LD1RB_0RE0LE_1RA1RD; 0∞010101(0101)A>0∞; 100; 37
1RB---_1LB1RC_0LE0RD_0RB0LE_1LD0LA; 0∞10(1010)0B>0∞; 93; 36
1RB---_1LB1RC_0LE1RD_1LE0RE_0RA0LC; 0∞0110(110)01B>0∞; 151; 52
1RB---_1LB1RC_1RA0RD_0LD1LE_1LA0LC; 0∞11111111(111)B>0∞; 104; 30
1RB---_1LB1RC_1RA0LD_0LC0LE_1LD0RE; 0∞1111111(111)A>0∞; 95; 30
1RB---_1LB1RC_1RD0RC_0LE0RE_1LA1LD; 0∞<A101010(1010)0∞; 69; 25
1RB---_1LB1RC_1RE0LD_0LC1LC_0RA1RA; 0∞11111111(1111)B>0∞; 136; 50
1RB---_1LB1RC_1RE1LD_0LB0LC_0RB1RA; 0∞1011(1111)0B>0∞; 80; 31
1RB---_1LB1RC_1RE1LD_0LC0RC_0RB1RA; 0∞110111111(1111)0B>0∞; 205; 69
1RB---_1LB1RC_1RE1LD_0LC0LC_0RB1RA; 0∞110111111(1111)0B>0∞; 151; 51
1RB---_1LB1RC_1RE1LD_1RC0LC_0RB1RA; 0∞110111111(1111)0B>0∞; 159; 53
1RB---_1LB1RC_1RE1LD_1RE0LC_0RB1RA; 0∞1011(1111)0B>0∞; 76; 29
1RB---_1LB1RC_1LD0RB_0LE1LD_1RA1LA; 0∞1110101010(1010)B>0∞; 141; 42
1RB---_1LB1RC_1LE1RD_0RC0RA_0LD0LE; 0∞(0)110(10)C>0∞; 51; 19
1RB---_1LB1LC_0RD0LE_0RB1RD_0LA0RA; 0∞011011(011)10B>0∞; 111; 38
1RB---_1LB1LC_0RD0LE_0RB1RD_0LA0RB; 0∞<A001111111(111111)0∞; 192; 66
1RB---_1LB1LC_0LD0LA_0LE0RE_1RE0RB; 0∞<A01110111(01110111)0∞; 660; 224
1RB---_1LB1LC_1RD0RC_1LE0RD_1LA0LB; 0∞<C1111(111)010∞; 72; 25
1RB---_1LB1LC_1RD0LA_0LD0RE_0LB1RD; 0∞<A0111(11)00∞; 87; 28
1RB---_1LB1LC_1RD0LB_1RA0RE_1RC0RD; 0∞1001(10111)A>0∞; 73; 26
1RB---_1LB1LC_1RD1RC_0RA1LE_0RA0LE; 0∞011110(11110)A>0∞; 96; 34
1RB---_1LB1LC_1LA0LD_1RD0RE_0RB1RC; 0∞11(11)000B>0∞; 90; 27
1RB---_1LB1LC_1LD0RE_0LE0LD_0RA1RE; 0∞001110(01110)A>0∞; 87; 31
1RB---_1LC---_0LE0RD_1RA1RC_0LD0LB; 0∞<C10001000(1000)0∞; 136; 45
1RB---_1LC---_1LE0LD_1RD1RC_1LB0RE; 0∞<D011111(111)0∞; 100; 37
1RB---_1LC0RA_0RA0LD_0LE1RC_1RE0LC; 0∞111110101010(101010)A>0∞; 268; 82
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD0RA; 0∞011111010(1010)A>0∞; 157; 50
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD0RB; 0∞011111010101010(1010)A>0∞; 255; 68
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD0RC; 0∞011111010101010101010(1010)A>0∞; 411; 86
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD0RD; 0∞01111101010(1010)A>0∞; 205; 56
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD0LC; 0∞0111110101010(1010)A>0∞; 255; 62
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD0LD; 0∞011111010(1010)A>0∞; 161; 50
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD1RA; 0∞011111010101010(1010)A>0∞; 279; 68
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD1RD; 0∞011111010(1010)A>0∞; 159; 50
1RB---_1LC0RA_0RD0LC_0LB1RE_1RD1LC; 0∞01111101010(1010)A>0∞; 203; 56
1RB---_1LC0RA_0RD0LC_0LB1RE_1LD1RD; 0∞011111010(1010)A>0∞; 185; 58
1RB---_1LC0RA_0RE0LD_0LB0RE_1RD1RC; 0∞01010(1010)01B>0∞; 76; 27
1RB---_1LC0RA_0RE0LD_0LB0LE_1RD1RC; 0∞01010(1010)01B>0∞; 88; 31
1RB---_1LC0RA_0LD0LC_1RD1LE_1RE0LB; 0∞1010(1010)A>0∞; 96; 34
1RB---_1LC0RA_0LD0LC_1LA0LE_1RE0LB; 0∞<A1001(001001)0∞; 135; 47
1RB---_1LC0RA_0LD0LC_1LE1RD_1RD0LB; 0∞01010(1010)A>0∞; 72; 26
1RB---_1LC0RA_0LD1RC_0LE1LD_1RE0LB; 0∞<D110011(11)00∞; 85; 28
1RB---_1LC0RA_0LE0RD_1LE1RD_0RA0LB; 0∞01010(1010)A>0∞; 75; 27
1RB---_1LC0RA_0LE0LD_0RD0LB_1LA1LB; 0∞<A1010(1010)0∞; 63; 23
1RB---_1LC0RA_0LE0LD_1RC0LB_1RA1LD; 0∞0101010(101010101010)A>0∞; 350; 122
1RB---_1LC0RA_0LE1RD_0LB0RB_1RE0LC; 0∞11111(111)0100(10)A>0∞; 197; 67
1RB---_1LC0RA_0LE1RD_1LC0RD_1RA0LD; 0∞11010101010(1010)A>0∞; 185; 57
1RB---_1LC0RA_1RC0RD_1LE1RD_0LB0LE; 0∞01010(1010)A>0∞; 99; 35
1RB---_1LC0RA_1RC0LD_0RB1LE_1RB0LB; 0∞(1010)A>0∞; 36; 13
1RB---_1LC0RA_1RC0LD_0LE0RA_1RE1LC; 0∞1010(1010)A>0∞; 96; 34
1RB---_1LC0RA_1RC0LD_0LE0RA_1LA0LC; 0∞<A1001(001001)0∞; 135; 47
1RB---_1LC0RA_1RC0LD_0LE0RA_1LB0LC; 0∞111(111111)010A>0∞; 214; 77
1RB---_1LC0RA_1RC0LD_1LE1RA_0RE0LB; 0∞11010(10101010)A>0∞; 198; 72
1RB---_1LC0RA_1RC0LD_1LE1RA_1LC0LB; 0∞11010(10101010)A>0∞; 180; 66
1RB---_1LC0RA_1RD0LC_0LE0RB_---0LB; 0∞<B0000(00)1001(1)0∞; 99; 33
1RB---_1LC0RA_1RD0LC_0LE0RB_0LB0RD; 0∞<B0000(00)1001(1)0∞; 113; 37
1RB---_1LC0RA_1RD0LC_0LE0RB_0LB0LE; 0∞<B000000000(000000)100001(1)0∞; 376; 127
1RB---_1LC0RA_1RD0LD_0LB1RE_0RC---; 0∞<B001(001001)0∞; 104; 38
1RB---_1LC0RA_1RD0LD_0LB1RE_1LD0RC; 0∞<B001(001001)0∞; 128; 46
1RB---_1LC0RA_1RD0LD_0LE0RB_0LB0LE; 0∞<B00000000(00)101001(1)0∞; 215; 63
1RB---_1LC0RA_1RD0LD_0LE0RC_1RA1LD; 0∞1101010(1010)A>0∞; 150; 48
1RB---_1LC0RA_1RD1LC_1RB0LE_1LC1LD; 0∞(1010)A>0∞; 30; 11
1RB---_1LC0RA_1RE0LD_0LB0LC_---0RB; 0∞<B0000(00)1001(1)0∞; 85; 29
1RB---_1LC0RA_1RE0LD_0LE0LC_1LC0RB; 0∞<C10000(00)1001(1)0∞; 86; 29
1RB---_1LC0RA_1RE0LD_1LE0RC_1RB0LE; 0∞(1010)A>0∞; 32; 9
1RB---_1LC0RA_1RE1LD_0RD0LB_0LC1RC; 0∞110101010(1010)A>0∞; 131; 40
1RB---_1LC0RA_1RE1LD_0RE0LB_0LC1RC; 0∞110101010(1010)A>0∞; 157; 48
1RB---_1LC0RA_1RE1LD_1RC0LD_0RE0LB; 0∞1010(1010)A>0∞; 96; 34
1RB---_1LC0RA_1LD0LC_0RE0LB_0LA1RD; 0∞<C(1010)010∞; 55; 16
1RB---_1LC0RA_1LD0LC_0RE0LB_1LB1RD; 0∞01010(10101010)010A>0∞; 364; 133
1RB---_1LC0RA_1LD1RC_1RE0LC_0LB0RD; 0∞101010(1010)01(01)B>0∞; 174; 68
1RB---_1LC0RA_1LD1LC_1RE0LC_0LB0RD; 0∞10101010(10)01010(1010)A>0∞; 223; 76
1RB---_1LC0RB_0RC0LD_1RA0LE_0LA0RC; 0∞<A0001001(001001)0∞; 207; 71
1RB---_1LC0RB_0RD0LB_0LE0LD_1RE0RA; 0∞(11110)A>0∞; 48; 13
1RB---_1LC0RB_0RE0LD_0LC0LB_1RE1RA; 0∞010110(0110)1A>0∞; 103; 35
1RB---_1LC0RB_0RE0LD_0LC1RB_1RA1RC; 0∞0110101(101011010110101)A>0∞; 663; 230
1RB---_1LC0RB_0RE0LD_1LA0LB_1RB1RE; 0∞<A1010011001(11001)0∞; 184; 62
1RB---_1LC0RB_0RE1LD_0LC0RA_1RB1RD; 0∞010(10101010)0B>0∞; 230; 87
1RB---_1LC0RB_0LA1RD_0LE1LD_1RA0LB; 0∞110(1100)0B>0∞; 96; 32
1RB---_1LC0RB_0LA1LD_0LE0RE_0RA1LC; 0∞0100(1000)B>0∞; 88; 32
1RB---_1LC0RB_0LA1LD_0LE0LA_0RA1LC; 0∞0100(1000)B>0∞; 84; 30
1RB---_1LC0RB_0LA1LD_0LE0LD_0RA1LC; 0∞0100(1000)B>0∞; 88; 32
1RB---_1LC0RB_0LA1LD_0LE1LC_1RA0LB; 0∞110(1100)0B>0∞; 82; 28
1RB---_1LC0RB_0LA1LD_0LE1LD_1RA0LB; 0∞110(1100)0B>0∞; 82; 28
1RB---_1LC0RB_0LA1LD_1RE0LC_1LB1RE; 0∞<A001(010101010101)10101110∞; 554; 202
1RB---_1LC0RB_0LD0LC_0LE1RA_1LA0RA; 0∞<A1000000(000000)1110∞; 230; 78
1RB---_1LC0RB_0LD0LC_0LE1RA_1LA0LD; 0∞<A1000000(000)101(1)0∞; 156; 52
1RB---_1LC0RB_0LD1RC_0RA1LE_0RE1LA; 0∞1(1)01000(0)B>0∞; 112; 36
1RB---_1LC0RB_0LD1RC_0RA1LE_1RB1LA; 0∞1(1)01000(0)B>0∞; 100; 32
1RB---_1LC0RB_0LD1RC_0RD1LE_0RE1LA; 0∞1(1)01000(0)B>0∞; 136; 44
1RB---_1LC0RB_0LD1RC_0RD1LE_1RB1LA; 0∞1(1)01000(0)B>0∞; 112; 36
1RB---_1LC0RB_0LD1RC_0RE1LE_0RE1LA; 0∞1(1)01000(0)B>0∞; 124; 40
1RB---_1LC0RB_0LD1RC_0RE1LE_1RB1LA; 0∞1(1)01000(0)B>0∞; 100; 32
1RB---_1LC0RB_0LD1LA_0RA1LE_0RC0LA; 0∞1(1)001000(0)B>0∞; 120; 40
1RB---_1LC0RB_0LD1LA_0RA1LE_0RC0LC; 0∞1(1)001000(0)B>0∞; 126; 42
1RB---_1LC0RB_0LD1LA_0RA1LE_1RB0LA; 0∞1(1)001000(0)B>0∞; 108; 36
1RB---_1LC0RB_0LD1LA_0RA1LE_1RB0LC; 0∞1(1)001000(0)B>0∞; 114; 38
1RB---_1LC0RB_0LD1LA_0RA1LE_1RB0LE; 0∞1(1)001000(0)B>0∞; 108; 36
1RB---_1LC0RB_0LD1LA_0RA1LE_1RD0LC; 0∞<A10101(101101)0∞; 170; 62
1RB---_1LC0RB_0LD1LA_0RD1LE_0RC0LA; 0∞1(1)001000(0)B>0∞; 144; 48
1RB---_1LC0RB_0LD1LA_0RD1LE_1RB0LA; 0∞1(1)001000(0)B>0∞; 120; 40
1RB---_1LC0RB_0LD1LA_0RD1LE_1RB0LE; 0∞1(1)001000(0)B>0∞; 120; 40
1RB---_1LC0RB_0LD1LA_0RE1LE_0RC0LA; 0∞1(1)001000(0)B>0∞; 132; 44
1RB---_1LC0RB_0LD1LA_0RE1LE_1RB0LA; 0∞1(1)001000(0)B>0∞; 108; 36
1RB---_1LC0RB_0LD1LA_0RE1LE_1RB0LC; 0∞1(1)001000(0)B>0∞; 114; 38
1RB---_1LC0RB_0LD1LA_0RE1LE_1RB0LE; 0∞1(1)001000(0)B>0∞; 108; 36
1RB---_1LC0RB_0LD1LA_1RA0LE_0LA1LD; 0∞<A0010(10)01(1)0∞; 75; 27
1RB---_1LC0RB_0LD1LA_1RA1LE_0LB0RD; 0∞11110(110)0B>0∞; 118; 40
1RB---_1LC0RB_0LD1LA_1RA1LE_0LB0LB; 0∞11110(110)0B>0∞; 108; 36
1RB---_1LC0RB_0LD1LA_1RA1LE_1RD0LB; 0∞11110(110)0B>0∞; 110; 36
1RB---_1LC0RB_0LD1LA_1RE0LE_1RB1LD; 0∞<A1110(10)01(1)0∞; 73; 25
1RB---_1LC0RB_0LD1LB_0RA1LE_0RE1LA; 0∞(1)01000(0)B>0∞; 86; 36
1RB---_1LC0RB_0LD1LB_0RA1LE_1RB1LA; 0∞(1)01000(0)B>0∞; 76; 32
1RB---_1LC0RB_0LD1LB_0RD1LE_0RE1LA; 0∞(1)01000(0)B>0∞; 106; 44
1RB---_1LC0RB_0LD1LB_0RD1LE_1RB1LA; 0∞(1)01000(0)B>0∞; 86; 36
1RB---_1LC0RB_0LD1LB_0RE1LE_0RE1LA; 0∞(1)01000(0)B>0∞; 96; 40
1RB---_1LC0RB_0LD1LB_0RE1LE_1RB1LA; 0∞(1)01000(0)B>0∞; 76; 32
1RB---_1LC0RB_0LD1LB_0LE1RA_1LA0RC; 0∞<A100000000(000)10∞; 233; 76
1RB---_1LC0RB_0LD1LB_0LE1RA_1LA0LE; 0∞<A100000000(000)10∞; 179; 58
1RB---_1LC0RB_0LD1LC_0RA1LE_0RE1LA; 0∞(1)0100(0)B>0∞; 68; 28
1RB---_1LC0RB_0LD1LC_0RA1LE_1RB1LA; 0∞(1)0100(0)B>0∞; 62; 26
1RB---_1LC0RB_0LD1LC_0RD1LE_0RE1LA; 0∞(1)0100(0)B>0∞; 88; 36
1RB---_1LC0RB_0LD1LC_0RD1LE_1RB1LA; 0∞(1)0100(0)B>0∞; 72; 30
1RB---_1LC0RB_0LD1LC_0RE1LE_0RE1LA; 0∞(1)0100(0)B>0∞; 78; 32
1RB---_1LC0RB_0LD1LC_0RE1LE_1RB1LA; 0∞(1)0100(0)B>0∞; 62; 26
1RB---_1LC0RB_0LD1LD_0RD1LE_1RB0LA; 0∞1(1)001000(0)B>0∞; 128; 42
1RB---_1LC0RB_0LD1LD_1LA0RE_1LB---; 0∞<A111(111)0∞; 48; 18
1RB---_1LC0RB_0LD1LD_1LA1RE_1LE1LC; 0∞<A111(111)0∞; 48; 18
1RB---_1LC0RB_0LD1LD_1LE0RA_1RB0LB; 0∞1(01010100)B>0∞; 221; 68
1RB---_1LC0RB_0LE0RD_1LA1LE_1RC1LD; 0∞111(11)00B>0∞; 76; 25
1RB---_1LC0RB_0LE0LD_0RC0LA_1RA0RD; 0∞<A00101(0101)0∞; 156; 54
1RB---_1LC0RB_0LE0LD_1LA---_0RA1LB; 0∞<A101101101(11011101)0∞; 288; 98
1RB---_1LC0RB_0LE1LD_1RB0LA_0RA1LD; 0∞1(1)001000(0)B>0∞; 108; 36
1RB---_1LC0RB_0LE1LD_1RB0LA_0RD1LD; 0∞1(1)001000(0)B>0∞; 108; 36
1RB---_1LC0RB_0LE1LD_1RB0LA_0RE1LD; 0∞1(1)001000(0)B>0∞; 120; 40
1RB---_1LC0RB_0LE1LD_1RB0LB_0RA0LA; 0∞<B01101(011011101)0∞; 316; 113
1RB---_1LC0RB_0LE1LD_1RB0LB_0RD0LA; 0∞<B01101(011011101)0∞; 316; 113
1RB---_1LC0RB_0LE1LD_1RC0LD_1RE0RA; 0∞01110(1110)A>0∞; 111; 39
1RB---_1LC0RB_1RC0LD_0LE0RA_1LA0LC; 0∞<A1001(001001)0∞; 159; 55
1RB---_1LC0RB_1RC0LD_1LC0LE_1RE0RA; 0∞(11110)A>0∞; 44; 13
1RB---_1LC0RB_1RC1LD_0LE0LA_0RA1LC; 0∞0100(1000)B>0∞; 96; 34
1RB---_1LC0RB_1RD0LB_1RA0RE_1RC0LB; 0∞10101(0101)11A>0∞; 135; 54
1RB---_1LC0RB_1RD0LB_1RA0LE_0RC1RE; 0∞10101(0101)1A>0∞; 114; 46
1RB---_1LC0RB_1RD0LC_0RE0RA_0LB1RC; 0∞1011(10111011)01101B>0∞; 286; 98
1RB---_1LC0RB_1RD0LC_0RE1RE_0LB1RA; 0∞101(1111)A>0∞; 78; 26
1RB---_1LC0RB_1RD0LD_1LA0RE_0LB0RD; 0∞<A10101010(1010)0∞; 160; 54
1RB---_1LC0RB_1RD0LD_1LA0RE_0LB1RA; 0∞<A101(0101)0∞; 66; 24
1RB---_1LC0RB_1RD1LD_0LE0RA_0RE0LB; 0∞(10101010)A>0∞; 100; 34
1RB---_1LC0RB_1RE0LD_0RA1LC_0LA1LE; 0∞<A0111(0111)0∞; 108; 38
1RB---_1LC0RB_1RE0LD_0LE1LC_1RA0RC; 0∞(10011)A>0∞; 56; 19
1RB---_1LC0RB_1RE0LD_1LC0LD_0RA1RC; 0∞11101111011110111101(11101)B>0∞; 414; 113
1RB---_1LC0RB_1RE1LD_1LA0LC_0LD1RC; 0∞<A1100(10)01000∞; 60; 18
1RB---_1LC0RB_1LD0LB_1RE0RC_1RA0RD; 0∞1010101(01010101)1A>0∞; 265; 96
1RB---_1LC0RB_1LD0LC_1RE0LB_1RA0RD; 0∞10101(010101010101)1A>0∞; 314; 112
1RB---_1LC0RB_1LD0LC_1RE0LC_1RA0RD; 0∞<C010101010(1010)000100∞; 225; 72
1RB---_1LC0RB_1LD0LD_0LE1LA_1RA0LB; 0∞<A111(011)110∞; 94; 35
1RB---_1LC0RB_1LD1RC_0RE0LE_0LC0RA; 0∞0011(11)010B>0∞; 99; 32
1RB---_1LC0RB_1LD1LA_0LE0LB_0RA1LB; 0∞<B1011(111011)0∞; 116; 42
1RB---_1LC0RB_1LD1LD_0LE1LA_0RA0LC; 0∞10100100100(100100)0000B>0∞; 571; 192
1RB---_1LC0RB_1LE0RD_0RB1RC_0LA0LC; 0∞<A0101(0101)0∞; 72; 26
1RB---_1LC0RB_1LE0RD_1LD1LA_1RC0LC; 0∞<A11111(111)0∞; 67; 25
1RB---_1LC0RB_1LE0LD_0RA1LC_0LA0RD; 0∞<A0111(0111)0∞; 96; 34
1RB---_1LC0RB_1LE0LD_0RA1LC_0LA1LE; 0∞<A0111(0111)0∞; 90; 32
1RB---_1LC0RB_1LE1LD_1LA1RB_0RD0LD; 0∞<A111(1111)0∞; 64; 24
1RB---_1LC0RC_---0RD_1LD1LE_1LA0LC; 0∞<A11(111)0∞; 41; 10
1RB---_1LC0RC_0RA1RD_1RC0LE_1LD0LE; 0∞1110(11110)A>0∞; 82; 29
1RB---_1LC0RC_0RD0LD_1LB1RE_0RD1RA; 0∞01101011010110101101011(01011)A>0∞; 436; 104
1RB---_1LC0RC_0RD1LC_0LD0LE_1RA1LA; 0∞111111111111(11)B>0∞; 282; 55
1RB---_1LC0RC_0RD1LC_1LD0LE_1RA0LA; 0∞11111111(11)B>0∞; 135; 39
1RB---_1LC0RC_0RD1LD_0LE0RE_1LB1LA; 0∞<B10101(0101)1100∞; 179; 60
1RB---_1LC0RC_0RD1LD_0LE1LA_0RA0LB; 0∞1(001001)B>0∞; 75; 25
1RB---_1LC0RC_0RD1LD_0LE1LA_1LB1LC; 0∞<A111011011(011)100∞; 305; 90
1RB---_1LC0RC_0RD1LD_1LE1LA_1RE0LD; 0∞<A101(0101)10∞; 111; 44
1RB---_1LC0RC_0RE0LD_0LC1LD_1LA1RA; 0∞10(101010)01A>0∞; 126; 44
1RB---_1LC0RC_0RE1RD_1RA0LE_0LD1LE; 0∞11011011(011011011)A>0∞; 314; 111
1RB---_1LC0RC_0RE1RD_1RA1LE_1LC0LD; 0∞11011(011)B>0∞; 74; 27
1RB---_1LC0RC_0RE1LD_0LC1LA_0RD1RA; 0∞01001(1001)A>0∞; 132; 48
1RB---_1LC0RC_0RE1LD_0LC1LA_1RB1RA; 0∞01001(1001)A>0∞; 120; 44
1RB---_1LC0RC_0RE1LD_0LC1LA_1RB1RE; 0∞010011(0011)B>0∞; 121; 44
1RB---_1LC0RC_0RE1LD_0LC1LD_1RB1RA; 0∞01001(1001)A>0∞; 132; 48
1RB---_1LC0RC_0RE1LD_0LC1LE_1RB1RA; 0∞01001(1001)A>0∞; 120; 44
1RB---_1LC0RC_0LA0LD_0RE0LB_0RE1LA; 0∞<A01001(1001)0∞; 87; 31
