machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0RB_1LD1LA_1LE0LB_0LC0LA; 0∞1100(0100)B>0∞; 111; 42
1RB---_0RC0RB_1LD1LA_1LE0LB_1LC0LA; 0∞<A1111111111(111)0∞; 108; 27
1RB---_0RC0RB_1LD1LC_1LE0LB_0LA1LA; 0∞<A111(111)0∞; 51; 19
1RB---_0RC0RC_0RD0LD_1LE0RE_1LA1LC; 0∞<A110110(0110)0∞; 109; 42
1RB---_0RC0RC_0RD1LD_0LE1LA_1LE1LC; 0∞<A1110110(110)0∞; 189; 62
1RB---_0RC0RC_1RD0RD_0LE0RE_1LA1LD; 0∞<A101010(1010)0∞; 75; 27
1RB---_0RC0RC_1RD0LA_0LE0RE_1LA1LD; 0∞<A101010(1010)0∞; 69; 25
1RB---_0RC0RC_1RD0LE_1RE1RA_1LC0LD; 0∞11101110111011(10111011)A>0∞; 336; 107
1RB---_0RC0RC_1RD1RA_1LE0LB_1RC0LD; 0∞1110110110(110)C>0∞; 137; 40
1RB---_0RC0RC_1RD1LA_0LE0RE_1LA1LD; 0∞<A101010(1010)0∞; 69; 25
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LC; 0∞<C101101101101101101(101)0∞; 296; 67
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LD; 0∞011011001101100110110011(01100110110011)B>0∞; 1177; 386
1RB---_0RC0RD_0RD0LE_1LD1RE_1RA0LE; 0∞11011(11011011)0011A>0∞; 364; 130
1RB---_0RC0RD_0RD1LA_1LD1RE_1RA0LE; 0∞111(101111011110111)011A>0∞; 667; 209
1RB---_0RC0RD_0LD0LE_1LC0RB_1RA0LA; 0∞<A001010(1010)0∞; 162; 56
1RB---_0RC0RD_0LD1RA_1LE1LD_1RB0LE; 0∞<E0010(0)1(1)00∞; 72; 26
1RB---_0RC0RD_1RD0LA_1LE0RB_0LE0LC; 0∞1010(1)010(00)B>0∞; 71; 19
1RB---_0RC0RD_1RD0LE_1RE1RA_1LC0LD; 0∞11101101110111011(10111011)A>0∞; 432; 125
1RB---_0RC0RD_1LA1LD_0RE0LE_1LC0RC; 0∞<A1101100110(0110)0∞; 219; 58
1RB---_0RC0RD_1LA1LD_0LE0RE_1LC0RC; 0∞<A11010(110)0∞; 70; 26
1RB---_0RC0RD_1LA1LD_1RE0LC_1LC1RD; 0∞<A101010(101010)0∞; 200; 76
1RB---_0RC0RD_1LA1LE_1RE0RE_0LC0RC; 0∞<A101010(1010)0∞; 80; 27
1RB---_0RC0RD_1LA1LE_1RE0LB_0LC0RC; 0∞<A101010(1010)0∞; 80; 27
1RB---_0RC0RD_1LA1LE_1RE1LA_0LC0RC; 0∞<A101010(1010)0∞; 74; 25
1RB---_0RC0RD_1LC1LD_0RE1LE_0LC1LA; 0∞<A1110110(110)0∞; 187; 62
1RB---_0RC0RD_1LC1LD_0LE1LA_0RA0LB; 0∞011101(1101)B>0∞; 124; 43
1RB---_0RC0RD_1LC1LD_1LA0LE_1RA0LE; 0∞11111(1111)B>0∞; 95; 34
1RB---_0RC0RD_1LD0RB_0LE1LA_1RB0LC; 0∞<A11001001(11001001)0∞; 324; 110
1RB---_0RC0RD_1LD0RB_1RE0LE_0LA1RC; 0∞<A00111(111)0∞; 96; 34
1RB---_0RC0RD_1LD0RC_0LE---_1RA0LC; 0∞11111111(1111)B>0∞; 121; 43
1RB---_0RC0RD_1LD0LA_1LE0RB_0LC1LB; 0∞<A0011011(011011)0∞; 222; 78
1RB---_0RC0RD_1LD0LE_0LC0LA_1RA1RB; 0∞1(111)B>0∞; 43; 12
1RB---_0RC0RD_1LD1RA_0LE0LA_0RB0LD; 0∞0011001(1001)A>0∞; 127; 45
1RB---_0RC0RD_1LD1RA_0LE0LD_1RA1LD; 0∞<D0(100100)000010(00)10∞; 221; 82
1RB---_0RC0RD_1LD1RA_0LE0LD_1RB1LD; 0∞10(110110110110110)C>0∞; 424; 133
1RB---_0RC0RD_1LD1RB_1LE0RB_1LC0LA; 0∞<A011(111111)0∞; 99; 35
1RB---_0RC0RD_1LD1RE_0LE---_1RB0LB; 0∞<B001(011101011101)0∞; 537; 170
1RB---_0RC0RE_0LD0RB_1LE0RB_1LC1LA; 0∞<A110(110)0∞; 51; 19
1RB---_0RC0RE_0LD1RA_1LD0LE_1LB1RC; 0∞<B10010010(010)0∞; 185; 61
1RB---_0RC0RE_0LD1LC_1LE0RA_0LA1RC; 0∞<A010110(110110)0∞; 174; 66
1RB---_0RC0RE_1RD1LE_1LC0RA_0RE0LD; 0∞<C10101101(101101)010∞; 248; 88
1RB---_0RC0RE_1LC0LD_1RA0LD_1RA0LA; 0∞1111111(1111)B>0∞; 142; 46
1RB---_0RC0RE_1LC0LD_1RA0LD_1RC1RD; 0∞11(111111)011A>0∞; 118; 44
1RB---_0RC0RE_1LC0LD_1LE1RA_1LA0RB; 0∞1110000(00)B>0∞; 72; 18
1RB---_0RC0RE_1LC1RD_1RA0LE_1LA0LD; 0∞<A100000(000000)1010∞; 157; 52
1RB---_0RC0RE_1LD0RA_0LD1LB_0RB1LA; 0∞00(00)1(1)00B>0∞; 66; 23
1RB---_0RC0RE_1LD0RC_0LE0LA_0RA1LC; 0∞<A01101101101(101101)0∞; 214; 69
1RB---_0RC0RE_1LD0RC_0LE0LD_0RA1LC; 0∞010100100(100100)A>0∞; 213; 71
1RB---_0RC0RE_1LD0LA_1LB0LC_1LC1RB; 0∞<B1101(0101)10∞; 72; 25
1RB---_0RC0RE_1LD1RE_1RD1LB_1RA0LC; 0∞011101(101)A>0∞; 113; 35
1RB---_0RC0RE_1LD1LA_0LE0RD_1RB0LC; 0∞<A100100111(0011100111)0∞; 548; 184
1RB---_0RC0RE_1LD1LA_1LB0LC_1RC0RD; 0∞<B11010101(010101)0∞; 138; 45
1RB---_0RC0RE_1LD1LA_1LE0LD_1RB0LC; 0∞1101010101010101010101010101010101010101010101010101(0101)B>0∞; 1553; 226
1RB---_0RC0LA_0RD1RD_1LE0LB_1LD0LA; 0∞<A0111(1111)0∞; 119; 44
1RB---_0RC0LA_1RD0LD_1LE0RE_1RC1LB; 0∞<B1101(0101)0∞; 89; 34
1RB---_0RC0LA_1RD1LE_1LE0RB_0LB0LC; 0∞<B01011(011)0∞; 70; 27
1RB---_0RC0LA_1LD0RB_1LE0LD_1LB1LC; 0∞<B11111(01111111)10∞; 196; 68
1RB---_0RC0LA_1LD0RD_1LE1LB_0RB0LC; 0∞<B11011011(011011)0∞; 262; 94
1RB---_0RC0LA_1LD1RC_0LE0RB_1LB0RC; 0∞(1)01011(1)C>0∞; 73; 28
1RB---_0RC0LA_1LD1RC_0LE1RE_1LB0RC; 0∞(1)01011(1)C>0∞; 63; 24
1RB---_0RC0LB_0LD1RE_1LE0RA_0RD1LA; 0∞0010100(10100)A>0∞; 138; 48
1RB---_0RC0LB_1RD0RD_1LE1RA_1RE0LD; 0∞<B00001001001(001001)0∞; 309; 94
1RB---_0RC0LB_1RD1LD_1RE1LA_0LC1RA; 0∞<B001000010(00010)0∞; 174; 47
1RB---_0RC0LB_1LB1RD_0LE1RE_1RA1LC; 0∞(01111)A>0∞; 52; 20
1RB---_0RC0LB_1LD0RA_0LD1LE_0LA1LA; 0∞<A0101(010010)0∞; 120; 46
1RB---_0RC0LB_1LD0RA_0LE0LC_1RB1RC; 0∞1(11001)B>0∞; 97; 32
1RB---_0RC0LB_1LD0RA_1LE0RC_1RD0LC; 0∞1(11001)B>0∞; 89; 30
1RB---_0RC0LB_1LD0RA_1LE0LA_0RD0LC; 0∞1(11001)B>0∞; 105; 36
1RB---_0RC0LB_1LD1RC_0LE0RD_1RB1LA; 0∞<A101(001001)0∞; 111; 41
1RB---_0RC0LB_1LD1RC_1LB1RE_1RA1RE; 0∞011111(011111)1A>0∞; 149; 54
1RB---_0RC0LB_1LD1RC_1LB1LE_1RA1RE; 0∞011111(011111)1A>0∞; 167; 60
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA0RD; 0∞010111(10101111010111)A>0∞; 462; 160
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA1RC; 0∞011111(011111)1A>0∞; 149; 54
1RB---_0RC0LB_1LD1RE_1LB1LC_1RA1RC; 0∞011111(011111)1A>0∞; 167; 60
1RB---_0RC0LC_0RD0LA_0LE0RC_1LE1LB; 0∞<A001110(1110)0∞; 156; 56
1RB---_0RC0LC_0RD0LA_0LE0RE_1LE1LB; 0∞<A001110(1110)0∞; 168; 60
1RB---_0RC0LC_0RD1RA_0LD1LE_0LA1LD; 0∞<A01011(11)0000∞; 74; 24
1RB---_0RC0LC_0RD1RA_0LD1LE_1LA0LD; 0∞<A110100(100)00∞; 74; 24
1RB---_0RC0LC_0LD0RA_1LE1LC_1RC0LE; 0∞<C1010101010(1010)0∞; 128; 43
1RB---_0RC0LC_0LD1RE_1LB0RE_1LC0RA; 0∞<B10010(1010)0∞; 73; 26
1RB---_0RC0LC_1RD0LA_1LE0RB_1LC0LD; 0∞<C110101(0101)0∞; 75; 30
1RB---_0RC0LC_1RD0LD_1RE0LB_1LB1RA; 0∞<C010000100001000010(00010)10∞; 346; 108
1RB---_0RC0LC_1RD0LD_1RE0LD_1LB1RA; 0∞<C010000100001000010(00010)10∞; 346; 108
1RB---_0RC0LC_1RD0LE_1RE1RA_1LC0LD; 0∞11011101110111011(10111011)A>0∞; 454; 129
1RB---_0RC0LC_1RD0LE_1LB0RE_1RA1LB; 0∞11110111(0111)B>0∞; 143; 41
1RB---_0RC0LC_1RD0LE_1LC0RA_1RA1LB; 0∞<B10010010000(10010000)0∞; 1232; 455
1RB---_0RC0LC_1RD1RA_0LE0RE_1LA1LD; 0∞<A101010(1010)0∞; 73; 28
1RB---_0RC0LC_1RD1RA_0LE0LE_1LA1LD; 0∞<A101010(1010)0∞; 63; 24
