machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0RB_1LD1LA_1RE1LE_1LC0LD; 0∞<A1110111110(111110)0∞; 130; 80
1RB---_0RC0RB_1LD1LA_1LE0LB_0LC0LA; 0∞11000100(0100)B>0∞; 111; 66
1RB---_0RC0RB_1LD1LA_1LE0LB_1LC0LA; 0∞<A1111111111111(111)0∞; 108; 33
1RB---_0RC0RB_1LD1LC_1LE0LB_0LA1LA; 0∞<A111111(111)0∞; 51; 31
1RB---_0RC0RC_0RD0LD_1LE0RE_1LA1LC; 0∞<A1101100110(0110)0∞; 109; 58
1RB---_0RC0RC_0RD1LD_0LE1LA_1LE1LC; 0∞<A1110110110(110)0∞; 189; 84
1RB---_0RC0RC_1RD0RD_0LE0RE_1LA1LD; 0∞<A1010101010(1010)0∞; 75; 43
1RB---_0RC0RC_1RD0LA_0LE0RE_1LA1LD; 0∞<A1010101010(1010)0∞; 69; 39
1RB---_0RC0RC_1RD0LE_1RE1RA_1LC0LD; 0∞1110111011101110111011(10111011)A>0∞; 336; 151
1RB---_0RC0RC_1RD1RA_1LE0LB_1RC0LD; 0∞1110110110(110)C>0∞; 89; 40
1RB---_0RC0RC_1RD1LA_0LE0RE_1LA1LD; 0∞<A1010101010(1010)0∞; 69; 39
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LC; 0∞<C101101101101101101101(101)0∞; 296; 77
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LD; 0∞01101100110110011011001101100110110011(01100110110011)B>0∞; 1177; 542
1RB---_0RC0RD_0RD0LE_1LD1RE_1RA0LE; 0∞1101111011011(11011011)0011A>0∞; 364; 190
1RB---_0RC0RD_0RD1LA_1LD1RE_1RA0LE; 0∞111101111011110111(101111011110111)011A>0∞; 667; 449
1RB---_0RC0RD_0LD0LE_1LC0RB_1RA0LA; 0∞<A0010101010(1010)0∞; 162; 84
1RB---_0RC0RD_0LD1RA_1LE1LD_1RB0LE; 0∞<E00100(0)11(1)00∞; 72; 30
1RB---_0RC0RD_1RD0LA_1LE0RB_0LE0LC; 0∞10101(1)01000(00)B>0∞; 71; 27
1RB---_0RC0RD_1RD0LE_1RE1RA_1LC0LD; 0∞1110110111011101110111011(10111011)A>0∞; 432; 169
1RB---_0RC0RD_1LA1LD_0RE0LE_1LC0RC; 0∞<A11011001100110(0110)0∞; 219; 74
1RB---_0RC0RD_1LA1LD_0LE0RE_1LC0RC; 0∞<A11010110(110)0∞; 70; 34
1RB---_0RC0RD_1LA1LD_1RE0LC_1LC1RD; 0∞<A101010101010(101010)0∞; 200; 124
1RB---_0RC0RD_1LA1LE_1RE0RE_0LC0RC; 0∞<A1010101010(1010)0∞; 80; 43
1RB---_0RC0RD_1LA1LE_1RE0LB_0LC0RC; 0∞<A1010101010(1010)0∞; 80; 43
1RB---_0RC0RD_1LA1LE_1RE1LA_0LC0RC; 0∞<A1010101010(1010)0∞; 74; 39
1RB---_0RC0RD_1LC1LD_0RE1LE_0LC1LA; 0∞<A1110110110(110)0∞; 187; 84
1RB---_0RC0RD_1LC1LD_0LE1LA_0RA0LB; 0∞0111011101(1101)B>0∞; 124; 67
1RB---_0RC0RD_1LC1LD_1LA0LE_1RA0LE; 0∞111111111(1111)B>0∞; 95; 50
1RB---_0RC0RD_1LD0RB_0LE1LA_1RB0LC; 0∞<A1100100111001001(11001001)0∞; 324; 190
1RB---_0RC0RD_1LD0RB_1RE0LE_0LA1RC; 0∞<A00111111(111)0∞; 96; 52
1RB---_0RC0RD_1LD0RC_0LE---_1RA0LC; 0∞111111111111(1111)B>0∞; 121; 59
1RB---_0RC0RD_1LD0LA_1LE0RB_0LC1LB; 0∞<A0011011011011(011011)0∞; 222; 122
1RB---_0RC0RD_1LD0LE_0LC0LA_1RA1RB; 0∞1111(111)B>0∞; 43; 34
1RB---_0RC0RD_1LD1RA_0LE0LA_0RB0LD; 0∞00110011001(1001)A>0∞; 127; 63
1RB---_0RC0RD_1LD1RA_0LE0LD_1RA1LD; 0∞<D0100100(100100)00001000(00)10∞; 221; 130
1RB---_0RC0RD_1LD1RA_0LE0LD_1RB1LD; 0∞10110110110110110(110110110110110)C>0∞; 424; 313
1RB---_0RC0RD_1LD1RB_1LE0RB_1LC0LA; 0∞<A011111111(111111)0∞; 99; 71
1RB---_0RC0RD_1LD1RE_0LE---_1RB0LB; 0∞<B001011101011101(011101011101)0∞; 537; 374
1RB---_0RC0RE_0LD0RB_1LE0RB_1LC1LA; 0∞<A110110(110)0∞; 51; 31
1RB---_0RC0RE_0LD1RA_1LD0LE_1LB1RC; 0∞<B10010010010(010)0∞; 185; 85
1RB---_0RC0RE_0LD1LC_1LE0RA_0LA1RC; 0∞<A010110110110(110110)0∞; 174; 106
1RB---_0RC0RE_1RD1LE_1LC0RA_0RE0LD; 0∞<C10101101101101(101101)010∞; 248; 128
1RB---_0RC0RE_1LC0LD_1RA0LD_1RA0LA; 0∞11111111111(1111)B>0∞; 142; 64
1RB---_0RC0RE_1LC0LD_1RA0LD_1RC1RD; 0∞11111111(111111)011A>0∞; 118; 68
1RB---_0RC0RE_1LC0LD_1LE1RA_1LA0RB; 0∞111000000(00)B>0∞; 72; 22
1RB---_0RC0RE_1LC1RD_1RA0LE_1LA0LD; 0∞<A100000000000(000000)1010∞; 157; 76
1RB---_0RC0RE_1LD0RA_0LD1LB_0RB1LA; 0∞0000(00)11(1)00B>0∞; 66; 37
1RB---_0RC0RE_1LD0RC_0LE0LA_0RA1LC; 0∞<A01101101101101101(101101)0∞; 214; 101
1RB---_0RC0RE_1LD0RC_0LE0LD_0RA1LC; 0∞010100100100100(100100)A>0∞; 213; 107
1RB---_0RC0RE_1LD0LA_1LB0LC_1LC1RB; 0∞<B11010101(0101)10∞; 72; 39
1RB---_0RC0RE_1LD1RE_1RD1LB_1RA0LC; 0∞011101101(101)A>0∞; 113; 47
1RB---_0RC0RE_1LD1LA_0LE0RD_1RB0LC; 0∞<A1001001110011100111(0011100111)0∞; 548; 328
1RB---_0RC0RE_1LD1LA_1LB0LC_1RC0RD; 0∞<B11010101010101(010101)0∞; 138; 69
1RB---_0RC0RE_1LD1LA_1LE0LD_1RB0LC; 0∞11010101010101010101010101010101010101010101010101010101(0101)B>0∞; 1553; 242
1RB---_0RC0LA_0RD1RD_1LE0LB_1LD0LA; 0∞<A01111111(1111)0∞; 119; 76
1RB---_0RC0LA_1RD0LD_1LE0RE_1RC1LB; 0∞<B11010101(0101)0∞; 89; 50
1RB---_0RC0LA_1RD1LE_1LE0RB_0LB0LC; 0∞<B01011011(011)0∞; 70; 37
1RB---_0RC0LA_1LD0RB_1LE0LD_1LB1LC; 0∞<B1111101111111(01111111)10∞; 196; 128
1RB---_0RC0LA_1LD0RD_1LE1LB_0RB0LC; 0∞<B11011011011011(011011)0∞; 262; 142
1RB---_0RC0LA_1LD1RC_0LE0RB_1LB0RC; 0∞1(1)010111(1)C>0∞; 73; 32
1RB---_0RC0LA_1LD1RC_0LE1RE_1LB0RC; 0∞1(1)010111(1)C>0∞; 63; 28
1RB---_0RC0LB_0LD1RE_1LE0RA_0RD1LA; 0∞001010010100(10100)A>0∞; 138; 74
1RB---_0RC0LB_1RD0RD_1LE1RA_1RE0LD; 0∞<B00001001001001001(001001)0∞; 309; 130
1RB---_0RC0LB_1RD1LD_1RE1LA_0LC1RA; 0∞<B00100001000010(00010)0∞; 174; 65
1RB---_0RC0LB_1LB1RD_0LE1RE_1RA1LC; 0∞01111(01111)A>0∞; 52; 36
1RB---_0RC0LB_1LD0RA_0LD1LE_0LA1LA; 0∞<A0101010010(010010)0∞; 120; 72
1RB---_0RC0LB_1LD0RA_0LE0LC_1RB1RC; 0∞111001(11001)B>0∞; 97; 68
1RB---_0RC0LB_1LD0RA_1LE0RC_1RD0LC; 0∞111001(11001)B>0∞; 89; 62
1RB---_0RC0LB_1LD0RA_1LE0LA_0RD0LC; 0∞111001(11001)B>0∞; 105; 72
1RB---_0RC0LB_1LD1RC_0LE0RD_1RB1LA; 0∞<A101001001(001001)0∞; 111; 69
1RB---_0RC0LB_1LD1RC_1LB1RE_1RA1RE; 0∞011111011111(011111)1A>0∞; 149; 86
1RB---_0RC0LB_1LD1RC_1LB1LE_1RA1RE; 0∞011111011111(011111)1A>0∞; 167; 96
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA0RD; 0∞01011110101111010111(10101111010111)A>0∞; 462; 304
