machine_id; machine; closed_states
228159; 1RB---_0RC0LD_1LC1LA_1RE1LD_0LD1RE; {'D', 'E'}
228163; 1RB---_0RC0LD_1LC1LA_1RE1LD_1LD1RE; {'D', 'E'}
228187; 1RB---_0RC0LD_1LC1LA_1LD1RE_0RD0RE; {'D', 'E'}
228190; 1RB---_0RC0LD_1LC1LA_1LD1RE_1LD0RE; {'D', 'E'}
228213; 1RB---_0RC0LD_1LC1LA_1LE1RD_0RD0LE; {'D', 'E'}
228214; 1RB---_0RC0LD_1LC1LA_1LE1RD_0RD1LE; {'D', 'E'}
228218; 1RB---_0RC0LD_1LC1LA_1LE1RD_1RD1LE; {'D', 'E'}
343350; 1RB---_0RC1RD_0LC1LA_0RE0RD_1LE1RD; {'D', 'E'}
343355; 1RB---_0RC1RD_0LC1LA_0RE0LD_1LD1RE; {'D', 'E'}
343377; 1RB---_0RC1RD_0LC1LA_0RE1LD_1LD1RE; {'D', 'E'}
343400; 1RB---_0RC1RD_0LC1LA_0LD1RE_1LD0RE; {'D', 'E'}
343459; 1RB---_0RC1RD_0LC1LA_0LE0RD_1RD1LE; {'D', 'E'}
343492; 1RB---_0RC1RD_0LC1LA_0LE0LD_1RE1LD; {'D', 'E'}
343516; 1RB---_0RC1RD_0LC1LA_0LE1RD_1RD1LE; {'D', 'E'}
343598; 1RB---_0RC1RD_0LC1LA_1RE1LD_0LD0RE; {'D', 'E'}
343600; 1RB---_0RC1RD_0LC1LA_1RE1LD_0LD1RE; {'D', 'E'}
343604; 1RB---_0RC1RD_0LC1LA_1RE1LD_1LD1RE; {'D', 'E'}
343657; 1RB---_0RC1RD_0LC1LA_1LD1RE_0RD0RE; {'D', 'E'}
343668; 1RB---_0RC1RD_0LC1LA_1LD1RE_1LD0RE; {'D', 'E'}
343687; 1RB---_0RC1RD_0LC1LA_1LE0RD_0LE1RD; {'D', 'E'}
343690; 1RB---_0RC1RD_0LC1LA_1LE0RD_1LE1RD; {'D', 'E'}
343722; 1RB---_0RC1RD_0LC1LA_1LE1RD_0RD0LE; {'D', 'E'}
343723; 1RB---_0RC1RD_0LC1LA_1LE1RD_0RD1LE; {'D', 'E'}
343726; 1RB---_0RC1RD_0LC1LA_1LE1RD_1RD1LE; {'D', 'E'}
376963; 1RB---_0RC1RD_1LC1LA_0RD1LE_1RD0LE; {'D', 'E'}
376985; 1RB---_0RC1RD_1LC1LA_0RE0RD_1LE1RD; {'D', 'E'}
377024; 1RB---_0RC1RD_1LC1LA_0RE0LD_1LD1RE; {'D', 'E'}
377090; 1RB---_0RC1RD_1LC1LA_0RE1LD_1LD1RE; {'D', 'E'}
377239; 1RB---_0RC1RD_1LC1LA_0LD1RE_1LD0RE; {'D', 'E'}
377297; 1RB---_0RC1RD_1LC1LA_0LE0RD_1RD1LE; {'D', 'E'}
377350; 1RB---_0RC1RD_1LC1LA_0LE0LD_1RE1LD; {'D', 'E'}
377398; 1RB---_0RC1RD_1LC1LA_0LE1RD_1RD1LE; {'D', 'E'}
377440; 1RB---_0RC1RD_1LC1LA_1RD1LE_0LD0LE; {'D', 'E'}
377441; 1RB---_0RC1RD_1LC1LA_1RD1LE_1RD0LE; {'D', 'E'}
377474; 1RB---_0RC1RD_1LC1LA_1RE0LD_0RE1LD; {'D', 'E'}
377479; 1RB---_0RC1RD_1LC1LA_1RE0LD_1RE1LD; {'D', 'E'}
377507; 1RB---_0RC1RD_1LC1LA_1RE1LD_0LD0RE; {'D', 'E'}
377509; 1RB---_0RC1RD_1LC1LA_1RE1LD_0LD1RE; {'D', 'E'}
377518; 1RB---_0RC1RD_1LC1LA_1RE1LD_1LD1RE; {'D', 'E'}
377561; 1RB---_0RC1RD_1LC1LA_1LD1RE_0RD0RE; {'D', 'E'}
377565; 1RB---_0RC1RD_1LC1LA_1LD1RE_1LD0RE; {'D', 'E'}
377578; 1RB---_0RC1RD_1LC1LA_1LE0RD_0LE1RD; {'D', 'E'}
377582; 1RB---_0RC1RD_1LC1LA_1LE0RD_1LE1RD; {'D', 'E'}
377623; 1RB---_0RC1RD_1LC1LA_1LE1RD_0RD0LE; {'D', 'E'}
377624; 1RB---_0RC1RD_1LC1LA_1LE1RD_0RD1LE; {'D', 'E'}
377629; 1RB---_0RC1RD_1LC1LA_1LE1RD_1RD1LE; {'D', 'E'}
555835; 1RB---_0RC1LD_0LC1LA_0RD1LE_1RD0LE; {'D', 'E'}
555913; 1RB---_0RC1LD_0LC1LA_0RE0LD_1LD1RE; {'D', 'E'}
555969; 1RB---_0RC1LD_0LC1LA_0RE1LD_1LD1RE; {'D', 'E'}
556015; 1RB---_0RC1LD_0LC1LA_0LD1RE_1LD0RE; {'D', 'E'}
556056; 1RB---_0RC1LD_0LC1LA_0LE0RD_1RD1LE; {'D', 'E'}
556088; 1RB---_0RC1LD_0LC1LA_0LE0LD_1RE1LD; {'D', 'E'}
556125; 1RB---_0RC1LD_0LC1LA_0LE1RD_1RD1LE; {'D', 'E'}
556196; 1RB---_0RC1LD_0LC1LA_1RD1LE_0LD0LE; {'D', 'E'}
556200; 1RB---_0RC1LD_0LC1LA_1RD1LE_1RD0LE; {'D', 'E'}
556230; 1RB---_0RC1LD_0LC1LA_1RE0LD_0RE1LD; {'D', 'E'}
556236; 1RB---_0RC1LD_0LC1LA_1RE0LD_1RE1LD; {'D', 'E'}
556258; 1RB---_0RC1LD_0LC1LA_1RE1LD_0LD0RE; {'D', 'E'}
556259; 1RB---_0RC1LD_0LC1LA_1RE1LD_0LD1RE; {'D', 'E'}
556263; 1RB---_0RC1LD_0LC1LA_1RE1LD_1LD1RE; {'D', 'E'}
556289; 1RB---_0RC1LD_0LC1LA_1LD1RE_0RD0RE; {'D', 'E'}
556293; 1RB---_0RC1LD_0LC1LA_1LD1RE_1LD0RE; {'D', 'E'}
556330; 1RB---_0RC1LD_0LC1LA_1LE1RD_0RD0LE; {'D', 'E'}
556331; 1RB---_0RC1LD_0LC1LA_1LE1RD_0RD1LE; {'D', 'E'}
556340; 1RB---_0RC1LD_0LC1LA_1LE1RD_1RD1LE; {'D', 'E'}
606953; 1RB---_0RC1LD_1LC1LA_0RD1LE_1RD0LE; {'D', 'E'}
607011; 1RB---_0RC1LD_1LC1LA_0RE0LD_1LD1RE; {'D', 'E'}
607066; 1RB---_0RC1LD_1LC1LA_0RE1LD_1LD1RE; {'D', 'E'}
607120; 1RB---_0RC1LD_1LC1LA_0LD1RE_1LD0RE; {'D', 'E'}
607156; 1RB---_0RC1LD_1LC1LA_0LE0RD_1RD1LE; {'D', 'E'}
607184; 1RB---_0RC1LD_1LC1LA_0LE0LD_1RE1LD; {'D', 'E'}
607216; 1RB---_0RC1LD_1LC1LA_0LE1RD_1RD1LE; {'D', 'E'}
607287; 1RB---_0RC1LD_1LC1LA_1RD1LE_0LD0LE; {'D', 'E'}
607291; 1RB---_0RC1LD_1LC1LA_1RD1LE_1RD0LE; {'D', 'E'}
607321; 1RB---_0RC1LD_1LC1LA_1RE0LD_0RE1LD; {'D', 'E'}
607326; 1RB---_0RC1LD_1LC1LA_1RE0LD_1RE1LD; {'D', 'E'}
607350; 1RB---_0RC1LD_1LC1LA_1RE1LD_0LD0RE; {'D', 'E'}
607351; 1RB---_0RC1LD_1LC1LA_1RE1LD_0LD1RE; {'D', 'E'}
607356; 1RB---_0RC1LD_1LC1LA_1RE1LD_1LD1RE; {'D', 'E'}
607386; 1RB---_0RC1LD_1LC1LA_1LD1RE_0RD0RE; {'D', 'E'}
607390; 1RB---_0RC1LD_1LC1LA_1LD1RE_1LD0RE; {'D', 'E'}
607428; 1RB---_0RC1LD_1LC1LA_1LE1RD_0RD0LE; {'D', 'E'}
607429; 1RB---_0RC1LD_1LC1LA_1LE1RD_0RD1LE; {'D', 'E'}
607438; 1RB---_0RC1LD_1LC1LA_1LE1RD_1RD1LE; {'D', 'E'}
710188; 1RB---_0LB0LC_0RD---_0RE0LD_1LD1RE; {'D', 'E'}
710197; 1RB---_0LB0LC_0RD---_0RE1LD_1LD1RE; {'D', 'E'}
710207; 1RB---_0LB0LC_0RD---_0LE0RD_1RD1LE; {'D', 'E'}
710210; 1RB---_0LB0LC_0RD---_0LE1RD_1RD1LE; {'D', 'E'}
710273; 1RB---_0LB0LC_0RD---_1RE1LD_0LD0RE; {'D', 'E'}
710274; 1RB---_0LB0LC_0RD---_1RE1LD_0LD1RE; {'D', 'E'}
710276; 1RB---_0LB0LC_0RD---_1RE1LD_1LD1RE; {'D', 'E'}
710340; 1RB---_0LB0LC_0RD---_1LE1RD_0RD0LE; {'D', 'E'}
710341; 1RB---_0LB0LC_0RD---_1LE1RD_0RD1LE; {'D', 'E'}
710342; 1RB---_0LB0LC_0RD---_1LE1RD_1RD1LE; {'D', 'E'}
713668; 1RB---_0LB0LC_0LD---_0RE0LD_1LD1RE; {'D', 'E'}
713677; 1RB---_0LB0LC_0LD---_0RE1LD_1LD1RE; {'D', 'E'}
713683; 1RB---_0LB0LC_0LD---_0LE0RD_1RD1LE; {'D', 'E'}
713691; 1RB---_0LB0LC_0LD---_0LE1RD_1RD1LE; {'D', 'E'}
713745; 1RB---_0LB0LC_0LD---_1RE1LD_0LD0RE; {'D', 'E'}
713746; 1RB---_0LB0LC_0LD---_1RE1LD_0LD1RE; {'D', 'E'}
713748; 1RB---_0LB0LC_0LD---_1RE1LD_1LD1RE; {'D', 'E'}
713775; 1RB---_0LB0LC_0LD---_1LE1RD_0RD0LE; {'D', 'E'}
713776; 1RB---_0LB0LC_0LD---_1LE1RD_0RD1LE; {'D', 'E'}
713777; 1RB---_0LB0LC_0LD---_1LE1RD_1RD1LE; {'D', 'E'}
717702; 1RB---_0LB0LC_1RD---_0RE0RD_1LE1RD; {'D', 'E'}
717704; 1RB---_0LB0LC_1RD---_0RE0LD_1LD1RE; {'D', 'E'}
717710; 1RB---_0LB0LC_1RD---_0RE1LD_1LD1RE; {'D', 'E'}
717726; 1RB---_0LB0LC_1RD---_0LD1RE_1LD0RE; {'D', 'E'}
717762; 1RB---_0LB0LC_1RD---_0LE0RD_1RD1LE; {'D', 'E'}
717768; 1RB---_0LB0LC_1RD---_0LE0LD_1RE1LD; {'D', 'E'}
717776; 1RB---_0LB0LC_1RD---_0LE1RD_1RD1LE; {'D', 'E'}
717806; 1RB---_0LB0LC_1RD---_1RE1LD_0LD0RE; {'D', 'E'}
717807; 1RB---_0LB0LC_1RD---_1RE1LD_0LD1RE; {'D', 'E'}
717808; 1RB---_0LB0LC_1RD---_1RE1LD_1LD1RE; {'D', 'E'}
717834; 1RB---_0LB0LC_1RD---_1LD1RE_0RD0RE; {'D', 'E'}
717842; 1RB---_0LB0LC_1RD---_1LD1RE_1LD0RE; {'D', 'E'}
717860; 1RB---_0LB0LC_1RD---_1LE0RD_0LE1RD; {'D', 'E'}
717863; 1RB---_0LB0LC_1RD---_1LE0RD_1LE1RD; {'D', 'E'}
717887; 1RB---_0LB0LC_1RD---_1LE1RD_0RD0LE; {'D', 'E'}
717888; 1RB---_0LB0LC_1RD---_1LE1RD_0RD1LE; {'D', 'E'}
717889; 1RB---_0LB0LC_1RD---_1LE1RD_1RD1LE; {'D', 'E'}
724992; 1RB---_0LB0LC_1LA0RD_0RE0LD_1LD1RE; {'D', 'E'}
724994; 1RB---_0LB0LC_1LA0RD_0RE1LD_1LD1RE; {'D', 'E'}
725004; 1RB---_0LB0LC_1LA0RD_0LE0RD_1RD1LE; {'D', 'E'}
725005; 1RB---_0LB0LC_1LA0RD_0LE1RD_1RD1LE; {'D', 'E'}
725056; 1RB---_0LB0LC_1LA0RD_1RE1LD_0LD0RE; {'D', 'E'}
725059; 1RB---_0LB0LC_1LA0RD_1RE1LD_0LD1RE; {'D', 'E'}
725063; 1RB---_0LB0LC_1LA0RD_1RE1LD_1LD1RE; {'D', 'E'}
725094; 1RB---_0LB0LC_1LA0RD_1LE1RD_0RD0LE; {'D', 'E'}
725095; 1RB---_0LB0LC_1LA0RD_1LE1RD_0RD1LE; {'D', 'E'}
725096; 1RB---_0LB0LC_1LA0RD_1LE1RD_1RD1LE; {'D', 'E'}
725118; 1RB---_0LB0LC_1LA0LD_0RE0LD_1LD1RE; {'D', 'E'}
725120; 1RB---_0LB0LC_1LA0LD_0RE1LD_1LD1RE; {'D', 'E'}
725124; 1RB---_0LB0LC_1LA0LD_0LE0RD_1RD1LE; {'D', 'E'}
725125; 1RB---_0LB0LC_1LA0LD_0LE1RD_1RD1LE; {'D', 'E'}
725155; 1RB---_0LB0LC_1LA0LD_1RE1LD_0LD0RE; {'D', 'E'}
725156; 1RB---_0LB0LC_1LA0LD_1RE1LD_0LD1RE; {'D', 'E'}
